formula,target
B1O5P1Sr1,5.3749
Cs1H1O4S1,5.3751
C2Cl2H12N4O4S2Zn1,5.3773
F6Na3Nb1O1,5.3801
Ca2Cl1O4P1,5.3814
Ca1Na2O12P4,5.3831
O7P2Th1,5.3833
B2Cs2Li2O15P4,5.3835
Ag1B1C4N4,5.3858
Al1B3Ca1O7,5.386
La1O4P1,5.3868
Cl1H5N2O4,5.388
Be1F4H5Li1N2,5.3882
Al1H1O10Si4,5.3893
La1O14P5,5.3922
Be1H2,5.3926
C2Cl1H8N1,5.3927
B2Ba1Be2O6,5.3928
Cl1O3Rb1,5.393
Ca2H4Mg1O10P2,5.3933
Be3Cd2F12Rb2,5.3934
H3Na1O5S1,5.3953
B4Mn1O7,5.3962
C2H30Mg1O18S2,5.3965
Ba2F18Zn7,5.3978
H6O12P3Sc1,5.3982
Ca2O12Rb2S3,5.3987
F4Hf1,5.3988
Al1Li1O6Si2,5.4
O8P2Sr3,5.4
H9K1Na1Re1,5.4007
B1Gd1O3,5.4012
H14Na1O24P8Sc3,5.4016
Cl1H2Li1O1,5.4019
C19H34,5.402
B1F3Mg3O3,5.4045
Al1B2Li1O5,5.4055
H1K3O8S2,5.4055
B3H12N1,5.4068
B3Ca1H7O9,5.4091
Er2H16O20S3,5.4104
Cs2F6In1Na1,5.4119
Al1C3Cl2H8N1,5.4131
Al2Co1O4,5.4135
B1Ca1H1O5Si1,5.414
F7K3Zn2,5.4172
B1Na1O4Si1,5.4177
Al2Ca1Cl8,5.4184
H4O4P2Sr1,5.4194
B12H12Rb2,5.4196
H16O20S3Y2,5.4213
H7N2O4P1,5.4216
Ca2O7P2,5.4227
C4K1N4Tl1,5.4229
F12K2O1Zr3,5.4236
C2Ca1H8O6P2,5.4253
C4Cl1H12N1O4,5.4277
B2Ca1H12O10,5.4308
Ca1H1O4P1,5.4334
Gd1O9P3,5.4341
Li1Mg1O4P1,5.4354
B6Dy4O15,5.4362
Ce1F4K1,5.4375
Al3O20P6Rb1,5.4375
C1Cl2H8N2O10,5.4387
Ce1O9P3,5.4396
Al1F1Na1O4P1,5.4423
Al1Ca2F7H2O1,5.4432
Ba1Cl1F1,5.4436
Cl1Na1O4,5.4438
C1F1H3O2,5.4466
Cl1F2O1P1,5.448
H11N2O4P1,5.4493
H2O1,5.4494
F1H5N2,5.4503
B1C1H5N2,5.4506
Ca1Na2O8S2,5.4519
Be1H8O8S1,5.4523
H12O11P2Zn2,5.4529
F10H1P1Pb2,5.4536
Al4F9K3O8P2,5.4552
Ba2Ca1H6O16P4,5.4557
B1H4Na1,5.4559
Er1O14P5,5.4563
B2H6Mg1O7,5.4584
Ca1H6O9P2,5.4596
Cl2H6N2,5.4634
Al3H3O10Si2,5.4663
H9N1O8P2,5.4677
Ca3O8P2,5.4694
La1O9P3,5.4716
H6Mg1O6Si1,5.4736
B9Ba1Na1O15,5.4761
B2H8Mg1,5.4772
Gd1H2Na1O9S2,5.4779
O6P2Sr1,5.4792
F6Li1Nb1,5.4798
Al1H6O12P3,5.4806
Cl1O4Rb1,5.4818
Be1C1N2,5.4832
H4La1N1O8S2,5.4841
Cl1Cs1O4,5.4844
Ce2K5Na1O24S6,5.4853
O14P5Y1,5.4865
F9Nb1Se1,5.4876
B2O8Si2Sr1,5.4879
F1H3O4S1,5.4884
Cs1F7Rb2Si1,5.4903
B2Ba1O8Si2,5.4903
F1Na1O4P1Y1,5.4910000000000005
B3O5Rb1,5.4912
B1Ba1O5P1,5.4914
