formula,target
Bi1Dy1Ni1,0.0017
Au1Bi1Li2,0.0055
Eu1P2Zn2,0.0087
Fe2P12W1,0.0087
As3La1Zn3,0.0186
Br1La3Te4,0.0189
F6Rb2Tb1,0.0192
Cu3Nd3Sb4,0.0218
Ag1As1Ca1,0.0223
Cu2S3Sn1,0.0232
O2Pb1,0.0236
Ca1P3,0.024
Al1H1Li1O5P1,0.0241
Ba2Bi2O6,0.0249
Ge2Os1,0.0253
Ca2Pb1,0.0263
Cd2Sb2Sr1,0.0269
Ge1Yb2,0.0271
Ca1Cu1H2O5Si1,0.0285
Ga1Ge1N1Sr2,0.0293
Cu1P1Sr1,0.0295
Ba2Pb1,0.0299
As2Ce1,0.0309
As2Nd1,0.0316
O3V2,0.0326
Al2Ru1,0.0326
Cu2Te3Zr1,0.0344
As2Cd1Ge1,0.0344
Fe4P12Th1,0.0348
Pb1Se3Tl4,0.0355
F3Fe1K0.6,0.0367
I10Ir1Tb6,0.0371
Ba1O8Se2U1,0.0372
Ag1As1Ba1,0.0393
As6Na10Sn2,0.0419
Er1H3,0.0428
Cd3Sb3Tl2,0.0429
Mg1Si1Sr1,0.0434
Ga1La1O1Se2,0.044
Mo5O8Sn1,0.0441
Au1F6O2,0.0445
Al8Ge3Sr14,0.0447
Fe1La3O6S3W1,0.045
Al1Ge1Li1,0.0458
Ca1O4Tl2,0.046
Cu3Sb4U3,0.0468
C4F3H14N1O2V1,0.047
Er1Pd1Sb1,0.0481
Cs1Ga3,0.0486
Au3Na1Si1,0.0492
Ba1Cu1N1,0.0494
Dy1N1,0.0498
Hf1Ni1Sn1,0.05
F1,0.0512
As1Cu1S1,0.0513
Ce2Cl6H28O14,0.0516
Nd2Te3,0.0523
C8F6H28N2O4V2,0.0532
O5V1Yb2,0.0537
H8N2Ni1O10,0.0543
Mo1O6Rh2,0.0544
C2Os1,0.0549
Ba2Sn1,0.0551
As2Pr1,0.0552
Eu1K1O8W2,0.0556
Te5Zr1,0.0569
Br1H2Li1O5,0.0569
B6Si1,0.0585
Er1Ni1Sb1,0.0599
As2La1,0.061
H12N6O6S3,0.061
S5Sn1Tb2,0.0621
In2Sb6Sr5,0.0623
Cl10Co1Tb6,0.0625
Ag1Sb1Te2,0.0625
Pd1S6Ta2,0.0626
Ag1S3Ta1,0.0626
C1H5O7P1Yb1,0.0627
As1Ho1S1,0.0628
As2Sn2Sr1,0.0641
Br10Gd6Ir1,0.0641
Ag6Ge1O8S1,0.065
Cu4O3,0.0653
Br3Tc1,0.066
Ba3O23Si4Ta6,0.0661
I10Ir1Y6,0.0671
Pt1Sb1Si1,0.0673
B1Cu2H5O6,0.0688
Ir1O3Sr1,0.0688
Ba5Fe5O14,0.0705
Pd1Sb1Sc1,0.0713
Si1Sn1,0.0717
Cu1Na1Te3Zr1,0.0718
Ir1Se2,0.072
Ag2Ba4Si6,0.0721
I12Zr6,0.0731
Au1Rb1,0.0736
Sn1Te1,0.0746
As4Cd2Ge1,0.0747
As1S1Tb1,0.0755
Ca1Cu1P1,0.0758
Dy1P5,0.0768
Se2Ti1,0.0769
As1Dy1S1,0.0771
Cl1O1Yb1,0.0772
Cl5K2Pu1,0.0784
Ho1Ni1Sb1,0.0786
In4Te3,0.0796
Co2La3S7,0.0809
H6Li2O6Sn1,0.0815
Cl5Pu1Rb2,0.0826
Ba6Fe8S15,0.0826
As12Os4Th1,0.0827
O6Rb6Tl2,0.0835
Sb3Sr2,0.0853
Ho1P5,0.0858
I5Ru1Y4,0.0866
Cd1Sb1,0.0867
Ni1Sb1Y1,0.087
Ag2O1,0.0871
Eu2.667Mo4O16,0.0874
Gd1Ni1Sb1,0.0879
Ag1F7Ir1,0.0903
Ho1N1,0.0906
Ge5Ir4,0.0908
Cs2I6Pd1,0.091
K3O4Pt2,0.0914
As4Th3,0.0924
Ba4Li2Si6,0.0939
Se2Tl2,0.0941
Ag1Ca1Sb1,0.095
O1Se1U1,0.0956
Er1Pt1Sb1,0.0976
Cu3Pr3Sb4,0.0982
Cd2Sb2Yb1,0.099
Dy1Ni1Sb1,0.0997
Rb3Sb1,0.1
Cr4Cu1In1Se8,0.1
Ca2Sn1,0.1
Pb1Te3Tl4,0.1015
Cd1Cu2S4Sn1,0.1019
Cl3O12Yb1,0.1025
Cr4Cu1Fe1S8,0.103
As1La1Te1,0.1031
As6Pt4Sr1,0.1036
Cu2Na2S4Zr1,0.1041
Sb2Se1Te2,0.1045
Lu1Na1O8Pd6,0.1052
As3Sr2Zn2,0.1056
As1S1Y1,0.1061
In2S5Zn2,0.1061
Ag7As1Se6,0.1077
Eu4O1Sb2,0.1077
Bi2Cl1O4Yb1,0.1083
Se1Tl1,0.1087
As1Ca1Cu1,0.111
Er1P1S1,0.1115
Cd1Te4Tl2,0.1117
Br10Co1Er6,0.1121
Ge1Hg1Te4Tl2,0.1124
O3Sr1Tc1,0.1125
K8Tl10Zn1,0.1127
Al1Li1Si1,0.113
Ho7I12Pt1,0.1134
Cl3Tc1,0.1137
C4Cl3H10N2O2U1,0.1142
Mn2P12W1,0.1152
Ga2Ru1,0.1155
Ce1Os4Sb12,0.1165
As5Ba2In5,0.1168
Cs2I6Sn1,0.1169
As1Na3,0.1173
Li1O2Yb1,0.1177
N1Pr1,0.1178
P1,0.1188
Ni1Sb1Tb1,0.1189
Gd1Lu3S6,0.1191
Eu1O8Rb1S2,0.1193
Eu2O7Sn2,0.1195
Cu2Mn1S4Sn1,0.1207
Nd1O1Sb1Zn1,0.1215
As1K3,0.122
P5Y1,0.1222
Au3Ge1Na1,0.1229
Er1N1,0.123
Dy2S5Sn1,0.1247
Cu2Hg1Si1Te4,0.1252
C1Cs2I18Zr7,0.1258
Li3Na1Si6,0.1264
Cr1Nd1O4,0.1268
