formula,target
C1Co2Ta4,236.617
Mo1Ni1P1,236.782
B12Hf1,237.2
N3Ta1Th1,237.889
B1Ir3Sc1,237.917
Mo1Pt3,238.367
Al2B2Ru3,238.799
Ir3Sc1,239.011
Si2W3,239.117
Nb1Ru3,239.211
Be2Re1,239.603
Co1N3,239.982
Mg1Mo1N2,240.287
Rh1Si1Ta1,240.881
Co2N1Ta4,241.08900000000003
Mn1Nb1P1,242.034
B1Pt1,242.408
C1H1N1,242.988
C3Nb4Si1,243.455
B4Re1U1,243.5
Nb1Re1Si1,243.758
Fe1P1V1,243.892
B1Fe1W1,244.733
Ge2N4Si1,244.939
N3Rh1,245.308
Nb1Pt3,245.496
Mo1Rh3,245.978
Ru5Si3,246.123
C1Pu1Ru3,246.647
Ir1Nb1Si1,246.801
C3Ir5,246.881
Al2B1Re3,247.039
Si3Tc5,247.133
Os1V1,247.633
P1Rh1Ta1,248.18400000000003
O2Ta1,249.023
Fe1Nb1P1,249.944
Pt2Ta1,250.407
Nb1P1Ru1,251.195
B1Co1Re1,251.479
N1Rh1,251.501
Re1Si1Ta1,251.978
Ta1Tc1,252.117
B7Mo3Y1,252.672
Os3Zr1,252.9
Re2Zr1,253.01
N2U1,253.567
Ni1P1W1,253.719
Cr1Rh3,253.761
B1Nb1O4,253.768
B2Ir3Th1,253.862
B2Ce1Ir3,256.539
B2Hf3Ir5,256.661
Ir1Si1Ta1,256.698
Al1Re2,256.937
Ir3Pa1,257.789
N1V2,257.97
C1Ru3Zr1,258.494
Rh1Sb1U1,259.969
Mo1Rh1,260.426
B4Hf1Ir3,262.411
B4Mn1,263.73900000000003
P1Ru1Ta1,264.182
C1Mo4Ni2,264.228
B4Ir3Zr1,264.416
C1Ni1,264.689
Hf1Os3,266.844
N2Re1,267.277
C3Nb4,268.244
B2Nb1Ni1,268.568
B4Nb3,269.298
B1Ir6Zr2,269.959
N3Ta2Zr1,270.521
Mo4N1Ni2,271.5
B2Mo2Nb1,271.632
C1Ru3V1,271.967
B3V2,273.143
B8Nb7Ru6,273.634
N3V2,273.883
Cr1N1Nb1,274.765
B3C1Nb3,275.481
B3Nb2,276.106
C1Ir1,276.461
P1W3,277.308
Ir2P1,280.367
B6Ta5,280.574
Ir2Si1,281.675
N3Nb4,281.967
C1Nb1Ru3,282.194
O2W1,283.079
Rh3W1,283.629
B2Ir1V2,284.058
B1Rh1,284.948
Os3Ti1,288.783
Mo3N1Pt2,288.833
Re5Si3,288.943
C1Ru3Ta1,289.2
B4Os3Sc1,289.235
Pt2W1,290.208
B2Mo3,294.254
B2Mo2Ru1,297.819
C1Ni2W4,298.828
Ir1N1,299.5
N1Ni2W3,302.144
B1Mo1,304.254
N2W1,305.379
B2Tc1,306.446
B1Tc3,306.781
B2Ir1Mo2,308.087
C6Cr3W20,309.633
Be1C1N2,310.247
Ir1Mo1,312.625
B2W1,314.24
B2Mo2Os1,315.64
B3Ni1W3,323.746
N1Tc3,324.116
Fe2Re3,325.661
C11N4,327.486
Re2W1,329.425
Os0.67W1.33,329.744
N4W3,330.994
C20,332.972
Ir1W1,336.24800000000005
B1W1,336.539
B3Os2,338.13800000000003
N1Tc2,339.668
Ir3Mo1,340.581
B3Co1W3,341.07199999999995
N1Os1,347.56699999999995
Re3Ru1,353.446
C2Re1,354.598
B1Os1,354.63199999999995
Ir3W1,356.05
C2Os1,359.207
B1C2N1,372.491
B1C7,385.055
C1Re2,391.213
