formula,target
N1,1.67222
Br4Ti1,1.7658599999999998
He2Ne1,3.77037
B4H16Hf1,3.93333
Br1,4.69922
As4O6,5.66667
F2Xe1,6.9032800000000005
F2Kr1,6.958539999999999
Cs2Hf1I6,7.01667
Cs2I6Te1,7.11667
Cs2I6Sn1,7.14444
Cl6Cs2Zr1,7.40556
Cs2I6Pt1,7.47222
Cs2I6Pd1,7.77222
Br6Cs2Sn1,7.84444
I6Rb2Te1,8.01628
Cl6Cs2Ti1,8.227780000000001
I6Rb2Sn1,8.32778
Cl6Cs2Se1,8.43333
Br6Rb2Sn1,8.73889
Br5Cs1Sn2,8.936689999999999
Br6Cs2Pt1,8.98333
Cl6Cs2Ge1,9.0
Cl6Rb2Zr1,9.22778
I6Pt1Rb2,9.52222
Cs1H1,9.59444
Br6K2Sn1,10.0278
Br9Rb3Sb2,10.0446
I6Pd1Rb2,10.0556
Cl6Pd1Rb2,10.1778
Cl6Rb2Se1,10.1889
Bi1K3Te3,10.2746
Cl6Rb2Ti1,10.2778
K3Sb1Te3,10.2813
Cl6Mn1Rb2,10.4667
Br4K2Pt1,11.0131
Br4K2Pd1,11.1218
Bi1Rb3Se3,11.4072
Cl6K2Ti1,11.4833
Rb2Te1,11.4944
Br6Pd1Rb2,11.5111
Rb1Sb1,11.5673
Be1Cl2,11.6333
Cs1I2Li1,11.7691
Cl6K2Mn1,11.9556
Br3Cs1Mg1,12.0149
Rb3Sb1Se3,12.0881
O6Sb4,12.1056
As1Rb3Se16,12.1108
Cl6K2Tc1,12.1667
Cs2Te5,12.2012
Cs2S2,12.3374
Au1Pb4Rb3,12.5592
Cs1K2Sb1,12.5833
Cl6Te1Tl2,12.6167
Cl6Sn1Tl2,12.8
K3Sb1Se3,12.8143
Cl2Hg2,12.9243
K8Sb4Sn1,12.9556
Cs1I3Sn1,13.0419
Cl4Hg3O1,13.1426
Hg2K1,13.1689
Bi1K3Se3,13.2031
Cs2Pt1,13.2204
Au1Rb1,13.2556
Br5Pb2Rb1,13.3059
As1K3Se3,13.5165
Cl1O4Tl1,13.6278
Cs3Hg20,13.6611
Cl5Cs1Pb2,13.7185
Rb2Se1,13.8333
Cl6Pt1Tl2,14.0778
F6Pd1Rb2,14.1889
Cl4Pd1Tl2,14.2664
Hg11Rb1,14.3333
Na3Sb1Te3,14.5051
Hg11K1,14.6389
In1Rb1Te2,14.6646
Cl4Cu1Rb2,14.7766
K5Sb4,14.982
H5Rb3Zn1,15.0727
Cs1I3Pb1,15.1129
K3S3Sb1,15.1135
K2Se2,15.2688
Ag1Bi1K2,15.5392
As1K3S3,15.7344
Bi1Cs3O3,15.7584
Bi1O3Rb3,15.7753
Rb2S2,15.8471
K2Se1,15.8944
Hg1Sr3,15.9327
Ag1Br2Cs1,16.2151
Br3Ca1In1,16.3013
Cs2H4Mg1,16.3598
Br1O1Rb3,16.4389
Cs2F6Si1,16.4472
Cs2F6Ge1,16.902
Cs3O3Sb1,17.063
H5K3Zn1,17.3521
F6Mn1Rb2,17.3611
In1Sr3,17.4
Au1Ge4Rb3,17.7023
K1Na1Te1,17.8722
F6Ni1Rb2,17.8944
Cu1K1S1,18.0358
Br1H4N1,18.0667
Au1K3O1,18.5778
P2S6Th1,18.6713
As1Na3Se3,18.794
Ca3N1Pb1,18.9278
Cs1Cu1F4,18.985
Cs1F2H1,19.0642
F6Ge1Rb2,19.0778
F6Rb2Si1,19.0917
Na3Sb1Se3,19.1464
Br1K3O1,19.2167
I1K3O1,19.2167
Br3Cs1Sn1,19.25
Ca7Ge1,19.35
Na3Sb1Se4,19.4944
K1N1,19.5611
Sn1Te5Tl2,19.8206
Ca3N1Sn1,19.8222
Na8Sb4Sn1,19.9
K1Na2Sb1,19.95
Ag1In2Na3,19.9944
Ba2Sn1,20.1375
Br1Se2Tl5,20.2106
Au1K1Se2,20.217
Ag1Ba1,20.2538
Nb1S4Tl3,20.4389
F5Mn1Rb2,20.4749
Na3Sb1,20.6313
Br1Tl1,20.7944
K1Mn1Te2,21.0419
Cs1Na1S1,21.1088
Hg1K1Sb1,21.1094
F6Na1P1,21.1111
K2O3Pb2,21.1407
As1Ca1Rb1,21.2268
Cd1Cl8Na6,21.3111
Ga1In1Te2,21.603
Cs1In3,21.6987
Ca3Tl1,21.7444
In2Sr1Te4,21.7632
Ag1In5Te8,21.8088
H3Li1Sr1,21.8333
Ca3Hg1,21.8725
Cl4K2Mg1,21.8829
Au1F4K1,21.8831
Au3Sr7,21.974
K2Mg5Sn3,21.9928
Ba2Ge1,22.0405
Ni1Ta1Te5,22.154
Cl1Tl1,22.2778
As1Cu1K2,22.4376
F6K2Ni1,22.4556
As1Na3S3,22.4879
Cl2H6N2,22.6938
Pb1Sr2,22.702
O1Rb2,22.7389
In1S3Sb1,22.7597
Ba1Te3,22.8583
Br3Cs1Ge1,22.9833
Br8Li6Mg1,23.0111
H6Na2Pt1,23.0639
F5U1,23.0708
As2K2Ni1,23.4735
Br3Cs1Hg1,23.5111
Ba2Sb1,23.5643
Au1In2Na3,23.6778
Cs3Ni1O2,23.6792
Ba1H1I1,23.981
Cs1H3Mg1,24.0836
K1Li1Se1,24.1404
Be2Cs1F5,24.2
Ba1Bi1Na1,24.2806
Ag2Ba1,24.3671
Cd1Na2Pb1,24.5056
Al4In3Sr11,24.5541
