formula,target
O2S1Sc2,6.360561270304256
C1Ge1,6.36182220432239
Cr1K1O2,6.362077652004469
B4Th1W1,6.363159129438955
Ga2Mg1O4,6.363748533623554
Hf1O4Si1,6.366566663033868
B3Os2,6.367703364353233
Ba1Nb7O9,6.369299774741597
B2Mo2Ru1,6.371442602141483
F2Mg1,6.377135027887967
Al4C4Th1,6.38129303803663
Fe2Ge1Ti1,6.38231673804828
Be2Re1,6.385642865032254
B2Ir1V2,6.387288326616864
Ga2O6Te1,6.388097432380507
C3Nb4Si1,6.389784187055275
N4Zr3,6.390665073636434
N0.2V0.6Zn0.4,6.393990339657468
Na1O3Sb1,6.394615312523242
C3Nb4,6.396839651165903
P4Ru1,6.398128935791628
B4Re1U1,6.403115483469897
Fe1Nb1P1,6.405410259685737
N3Nb4,6.409060774737016
C1Nb2P1,6.409873849818431
P3Ru1,6.423365463005686
Al2Ru1,6.423436880563074
O4Sb1V1,6.424421598055515
C2Os1,6.425152614159886
B8Nb7Ru6,6.429571079931908
B2C2Tb1,6.431197417606275
Be4N4Sr2,6.434955744834383
B2Mo3,6.436959335938705
O7V2Y2,6.437135459930451
B2C2Gd1,6.440951325310469
O1.03Sc1,6.441268657806624
Co1Si1V1,6.4430989275296096
C8Cs1,6.445373727756747
B2Mo2Nb1,6.44785246431583
N1P1V3,6.458327311497765
Mn2O7Y2,6.467377245863689
Al3C4Hf2,6.476832353088768
B1C2Sc2,6.478752316293857
Be1Li1P1,6.479805269494822
B2W1,6.480296064039676
C2Re1,6.483455914555234
Li1Nb1O2,6.4874617715673715
Al2Fe3Si4,6.4912545012537075
Cr1N1Nb1,6.4932181441987415
Li1O4Ti2,6.500295182206758
Li1N1Zn1,6.502778051840696
Cr1P4,6.505175504293142
B4Mo1U1,6.505218878021382
Al1Li1O2,6.505906623618512
Fe1P1V1,6.5136810478006515
B7W1Y3,6.515145189923922
C2Co1Sc1,6.517306361436192
Ca1Mn1O2.98,6.517767280120275
Cr1O4P1,6.5184995856011465
Co1P3,6.5203471577790895
Li9N1S3,6.522128091664976
C2Ge1Ti3,6.527548477088067
Al1O3Y1,6.539659652323966
Be2Si1,6.544360665693278
Al1Fe2V1,6.5454056932473055
N1V2,6.546824147456446
Al4C1O4,6.553894941747686
C2Cr1Sc1,6.556252649816857
B1Mo1,6.56214602667729
Al3C3Gd1,6.56493392933194
Al2Co1O4,6.569256991304899
Al3C3Er1,6.569719821167088
Al3C3Ho1,6.571151833753451
Be5Pt1,6.571920239307824
Al3C3Dy1,6.573291823408623
Al3C3Tb1,6.574309856932452
Be4Ca2N4,6.5824737916957075
B6Re1Y2,6.608932714382791
B2Nb1Ni1,6.6095931487299735
B6Os1Y2,6.6157157264888955
B3C1Nb3,6.625961171725686
B2Fe1,6.626907135287866
H2Sc1,6.6275928629140815
B7Mn1Y3,6.636678571162498
Be3P2,6.663020301424451
B4Nb3,6.665409794918648
B7Mo3Y1,6.6666195854540975
Be13Sb1,6.670316282965373
Fe1H6Mg2,6.678191159865005
Al1C3V4,6.6907118341285985
N3Rh1,6.704679025818039
B3Nb2,6.7055411708489565
As1B2P1,6.705959728885936
Mg1Mo1N2,6.70664226348868
B6Ru1Y2,6.709771304384311
Al3C3Y1,6.720147776158943
Be13Pa1,6.729966234816145
B1Nb1O4,6.732338231112708
B2Ca1,6.769331940277186
Ge2N4Si1,6.78808621589362
Be2V1,6.792353406106146
Li1Mg8Si4,6.799340102595082
B2Tc1,6.807246308855314
N3V2,6.812034815022778
Be13Ho1,6.81283562291349
C2Na1,6.863992506275992
Be5Co1,6.881180270796338
Be5Sc1,6.885445250782028
Be5Fe1,6.899299630534475
B6K1,6.905257161282784
B2C1Sc1,6.9139063224666435
B12Hf1,6.9214806536006135
B4Ti3,6.939738324835187
Co1N3,6.942446518772067
B2C2Sc1,6.9522409540214145
B3V2,6.956583537664059
B4Fe1,6.962158233361429
B1P1,6.973046641663385
B12Er1,6.994309051286711
B12Ho1,7.000981470608958
B12Dy1,7.002938177959328
B12Ni1,7.011304154610696
B12Tb1,7.013375760845821
Be13Sc1,7.054769123506043
Be1N2Si1,7.07828255589338
B4Mn1,7.10968336541501
Be22Tc1,7.113516631398584
B12Sc1,7.19670155199554
B2Be1C2,7.196896286670162
C20,7.248909395621447
B9Li1,7.293588945141074
C1H1N1,7.346706741472403
C11N4,7.361883559069582
C1H1,7.37760264601957
Be1C1N2,7.42433829710014
B1C2N1,7.589664550115279
B1C7,7.595025222369206
