formula,target
Br4Ti1,3.8046961132742005
Hg11K1,4.094161212081158
Cs3Hg20,4.181422464776634
Hg11Rb1,4.182973380448133
N1,4.365552935343483
Au1Li1Sb1,4.372664193479719
I6Rb2Te1,4.385768375621928
Hg2K1,4.396224121695926
I6Pd1Rb2,4.418407984107982
I6Rb2Sn1,4.4195812972738295
Cs2I6Pt1,4.425081334850829
As1Cd1Li1,4.443140548532146
Cs2Te1,4.4453124183384265
Cs2I6Te1,4.460154818507983
Au2S1,4.467362233331002
Cs2Pt1,4.469410025791007
I6Pt1Rb2,4.480111370925075
Cs2I6Pd1,4.49790007042662
Mg1Tl1,4.498758006414463
Au1Pb4Rb3,4.521063314109445
Ag1Cd1Sb1,4.522751157098441
Br6Cs2Sn1,4.525359368092708
Br1,4.526418061819946
Cs1Na2,4.559086456119102
Ag1Cr2Te4,4.566091462753764
Au1Cs1,4.576011163823842
Pu1Ru1,4.591345057794392
Tl3Yb1,4.592945771365368
As1Rb3Se16,4.594217422867541
Hg1Pt3,4.594540894693439
Br6Cs2Pt1,4.595793360649193
Br6Rb2Sn1,4.604602024614982
Cl4Hg3O1,4.62218461614722
Hg1Sr3,4.6424081655928955
Cl2Hg2,4.64391963426737
Hg5Pd2,4.644967655862157
Hg3Yb1,4.648727635736919
Cs2Te5,4.653741278544042
Cs1I3Pb1,4.663307009917636
Pd1Se2Tl2,4.6720154196175825
Br1Tl1,4.674229721919586
Ba1Hg2Tl2,4.677146602275593
Lu1Pb2,4.67947956642923
Cs1I3Sn1,4.686445979252856
Br6K2Sn1,4.690953308982514
Bi1Cs3O3,4.6958332208853335
Au1Rb1,4.699270543343187
Tl1Yb1,4.700353084965283
Br9Rb3Sb2,4.711375344834408
Br1Se2Tl5,4.7257138520399105
Nb1S4Tl3,4.73106247481533
Br5Cs1Sn2,4.732172812524905
Cl6Sn1Tl2,4.732296107314096
Cl1Tl1,4.738651577362572
Bi1Rb3Se3,4.740286571846937
Sn1Te5Tl2,4.743653049821386
Cd3In1,4.74685202331535
Ho1Pd1Sb1,4.751752296315397
Ca1Hg3,4.754787749608918
K8Sn46,4.757212931396117
Ag1Br2Cs1,4.757942773825488
Cs2S2,4.758328945453538
Cl6Cs2Ti1,4.76317343513084
K3Sb1Te3,4.763608802318714
Ca4Hg9,4.766727653429318
Cl6Pt1Tl2,4.774676645735202
Rb2Te1,4.77923273084235
Ag1Te1Tl1,4.785723513719397
Ba1Cd2,4.786199241194954
Rb3Sb1Se3,4.787233376074909
Au3Sr7,4.789672696106762
Cl6Cs2Zr1,4.790470634807566
Au2Sn1U1,4.791757630929096
Bi3Ni1,4.79271971973111
Br5Pb2Rb1,4.793548364364577
Cs3O3Sb1,4.798720134455222
F2Xe1,4.800407968048592
Cl6Te1Tl2,4.801690462181859
Br6K2Pt1,4.801928693357588
Br6Pd1Rb2,4.80390628405014
Au2In1Th1,4.804094812504151
Cl4Pd1Tl2,4.807367896786835
Br3Cs1Hg1,4.809783100682866
Mn2Te4Zn1,4.811647625993117
Cl6Cs2Ge1,4.817632899694033
Ir2La5,4.819773371980399
Au1Cd1Sb1,4.82429768374399
In1Rb1Te2,4.837273478673773
Br3Cs1Mg1,4.837891721615376
Hg2Mg1,4.842256089425007
Pb2Pt1,4.843060467810097
Ba4Bi3,4.84815557951584
C1Pu1Rh3,4.849801218943724
Pt1Sb1Yb1,4.8528502401472045
Au1La2,4.856271258176871
Cu1Hf1Hg2,4.861408029898699
Ag1Se1Tl1,4.862367277427153
Dy3Pt1,4.862885197872237
Dy1Tl1,4.865517032219813
Au1Li2Tl1,4.870399572838938
Cl6Cs2Se1,4.873271806460929
C1Tb3Tl1,4.875945135123158
Cl1O4Tl1,4.877454316259775
Cs1F1,4.877911194570572
Au1Ba1,4.879706226769857
Bi5La3Mg1,4.8818772527867464
Br4K2Pd1,4.882150195106631
Au3Li1,4.883824127229868
Au3Rb2,4.8838771019495875
Tb1Tl1,4.887653769681027
Ba2Cd1,4.8924371723035405
Cd1Sb1Tl1,4.89254221037994
Pd1Sr1Tl2,4.894505890436528
C1Er3Tl1,4.8967272409881355
F2Kr1,4.897697998852834
Ba3Bi1N1,4.8977577070291405
Cl6Rb2Zr1,4.898511216291551
Ba2Sn1,4.899144918062892
Ag1Bi1K2,4.899472794247861
Au3K1Sn3,4.899971853866047
Cl5Cs1Pb2,4.900083549517852
Br3Ca1In1,4.9010361786227525
Dy3Rh1,4.903183704778119
La1Tl1,4.9037921984782065
Cs2F6Ge1,4.90429652232413
Ag1F1,4.904748714164954
C1Dy3Tl1,4.905267371003587
Au2Ge2Th1,4.9077236294056785
Dy1Hg3,4.907960058732882
C1Ho3Tl1,4.910262319949468
Ho3Tl5,4.912912205567641
Bi1K3Se3,4.913235599442145
Na3Sb1Te3,4.917254584998891
Au1K1Se2,4.917386321876625
Ag1La1,4.918147128661094
K1Mn1Te2,4.9192799502751505
Sb1Tl1,4.925875924887054
Er1Hg3,4.927514520701873
Au1In2Na3,4.928535472012982
Br3Cs1Sn1,4.929164901098192
Ag1Ba1,4.929446930409415
Hg3Y1,4.931274576037149
Au3K2,4.93188064540735
Ba2Bi3,4.931952772061787
Cl6Rb2Ti1,4.936787800835474
Ag1Br1,4.938451623132987
Eu1Hg1,4.940806358919724
In1Sr3,4.942463513992922
Sr1Tl2,4.942955845406118
Br3Cs1Dy1,4.944246172765067
Rb2Se1,4.9461394387151545
He2Ne1,4.946956847433018
Sn4Sr1,4.951224934764648
O1Pd2,4.9522573133574115
Ba1Tl2,4.952992056866085
Bi1O3Rb3,4.956150948804813
Ga2Pt1,4.9583379870847395
Hg2Pt1,4.959489357272099
Ni1Ta1Te5,4.95955951990912
Er3Rh1,4.960288919659517
Au1Ge4Rb3,4.960534271126723
Au1Cd1Yb1,4.962655801244019
Se3Sn1Tl4,4.9652752403659886
Cd1Dy2Te4,4.9654775247855465
C1In1Pt3,4.968284353555726
Br1Eu1I1,4.968659856838838
Ag1In5Te8,4.969410440661466
Au1Th1,4.971242832861783
Al1Hf1Pd2,4.971589498977257
Au1Tb2,4.972012268958569
Au1Cd1La1,4.972351741670647
Au1O1Rb1,4.977064722123507
Au2In2Sr1,4.978098328191148
Au2Er1In1,4.978862509470097
Cd2Ge2Sr1,4.980444091932026
Tb3Tl5,4.980464704751139
K3Sb1Se3,4.980890607912695
Au1Ho2,4.981302599623756
Cs1H1,4.9848797834965435
La7Pt3,4.985946348165829
Au1Dy2,4.986561156877223
Tl1Y1,4.988348784517015
Au1La1,4.989411657644629
Hg1K1Sb1,4.990221680185763
Cs1K2Sb1,4.990609441887249
Au4In2K1,4.991506839494587
Au1Rb1Te1,4.992138613680114
Bi3Sr4,4.992579939429807
Au2In1Ti1,4.992837855065675
Pb1Th1,4.993475571249322
Au2Bi1Dy5,4.993577296854761
Pb1Sr2,4.999351875075769
Ba2Ge1,5.000221255747383
Au1Er2,5.000659029573479
Cd1Na2Pb1,5.005515543846026
Au2Ho1In1,5.005642852573211
Au7Cd16Na6,5.005937610572331
Bi1Er5Pt2,5.006426449322201
In2Sr1Te4,5.007129154766968
Ag2Ba1Te2,5.012746397481896
Cs2F6Si1,5.013225270543131
Th3Tl5,5.0168095275613664
Ca3Hg1,5.017716827413338
Au2Bi1Tb5,5.021159717552468
Cs3Ni1O2,5.021964212214976
Hg1Pb1Sr1,5.027616952735144
Pd1Sn3Sr1,5.02770215645401
Cs1In3,5.027793906187017
Li1Pb1Pd2,5.028953159548178
Al1C1Tb3,5.029829893443646
La3Tl5,5.031287233827116
Au1K1Te1,5.03218149851724
Au2Bi1,5.035802590754284
Au2Dy1In1,5.038859873324663
Ag2Ba1,5.039332884177094
Gd1Hg1,5.0415911782167
K8Sb4Sn1,5.042456906419211
As1K3Se3,5.044534179101714
Ba5Sb4,5.045854421831699
Cl6Mn1Rb2,5.04596382714955
Er1Pd1Tl1,5.045989567837857
Ba1Pt1,5.046182601883228
O1Rb2,5.046684316083902
Hf5Ir3,5.04697365212401
In1Pt2Zr1,5.049856007249537
Cl6Rb2Se1,5.050086749857183
Hg1Sn1Yb1,5.050407137400693
Au3Ge1Na1,5.050682588613939
Al1Au2Sc1,5.050688993553429
Ni1Sb1Yb1,5.051879599430745
Ba1Pd1,5.05513691049683
Dy1Pd1Tl1,5.05513691049683
Ag1Bi1Yb1,5.055799846050629
Ca3Tl1,5.0559081687376475
Au1Cu4Tb1,5.059907881563393
Cl6Pd1Rb2,5.061917588423306
Au2Ga1,5.062563386956615
Au4Ho1,5.064049670730892
Au1In1Yb1,5.066019542442345
Ca3Hg2,5.066057386587545
Lu1Te2,5.068690342875964
Ba2Sb1,5.071768022098994
Au1Li3,5.072100346965282
K5Sb4,5.072714543703024
Au2In1Tb1,5.075230063651855
Ag2Er1In1,5.075904798000813
Au2Ho5Sb1,5.075911043414338
Bi2Th1,5.077072012516907
Pd2Sn1Tb1,5.078393626075025
F6Ge1Rb2,5.078686388917414
Ga1In1Te2,5.079047552615671
Na3Sb1Se4,5.079414809491081
Ag1Dy1Mg1,5.0795392727434665
Pt1Y3,5.08057172029542
Be2Cs1F5,5.080888704103931
Au1Ca1,5.080919775540272
Cu1La1,5.081373308601597
Dy2Tl1,5.082025290182928
B1Pd3Yb1,5.084814692270507
Cu1Hg2Zr1,5.085396386254001
Bi1Th1,5.087911100503413
Au1Mg1Yb1,5.088046851018856
Cd1Hg2Ti1,5.091563763213428
Ag1In2Na3,5.093645900889188
Al1Au2Hf1,5.098023266831471
Au1Mn1Sn1,5.098597330177415
Er1Te2,5.100835470345917
Ag2In1La1,5.101535765411881
Bi4La3Pt3,5.1027889822668
Ga2Hg1Te4,5.103937398459904
Ag1Ga1,5.105066299661355
Au4Cr1,5.1051815458181755
As1Pd5Sb1,5.105981836875803
Ag2Ho1In1,5.10638174235802
Au6In5Na2,5.107495786695951
As1Tl1,5.107519991273038
Al1Au2,5.1076107532196415
Pt3Sb2,5.108034200083388
Au1Ca3,5.108348644577456
Ca3N1Pb1,5.113336276328176
Ba1Ca1Pb1,5.114947260218106
Ag1In5Se8,5.116825465494559
In4K1,5.117065237712102
Bi2Ho6Rh1,5.117430779692077
Au3Zn1,5.1196212299691215
Er1In1,5.120523544077459
La1Pd1Tl1,5.120678827290462
Cs1Cu1F4,5.1216219532855884
Cl4Cu1Rb2,5.122045473580628
Au2Hf1In1,5.12299327032237
Ag1Cu4Dy1,5.1234817202778755
Cu2Se1,5.124713698293805
Al1C1Er3,5.125147802217963
As1Hg1K1,5.125403419103148
Au1Bi1Ca1,5.126555855683329
Br1Cu1,5.130123541718641
Ba1Pt1Sb1,5.130371975698589
Ag1La1Mg1,5.1305730437253105
Ba1Hg1Sn1,5.1316663824471025
Cl6K2Ti1,5.132988610830353
Au3Ca5,5.134356221086015
Sn1Ta3,5.134697831606228
Au1Ca1Cd1,5.134780271837108
In1Ir1Tb4,5.135527812199365
Pd2Sb2Sr1,5.135998417052928
Au1C2Cs1,5.136457043650725
Er1Hg2,5.137549843618472
Ag2Dy1In1,5.13780231030742
Au2Ca2Pb1,5.137913845055013
Ba1Bi1Na1,5.137919714960302
Ho1In1,5.137931454667513
Br1In5Se5,5.1386883748016405
Rb2S2,5.1386883748016405
As4O6,5.140352756258798
Rh2Th1,5.1405869537820585
Ba3Sn5,5.143118637709227
K2Se2,5.144828134582568
Ag1Bi1Li2,5.145405086254103
Br3Cs1Ge1,5.14586524335636
Bi3Tb4,5.14601081859718
Ba1Pb6Rh3,5.146179659331281
Pb1Se2,5.147418892561687
Bi1Ga1,5.149573709059985
Au2Ga2Sr1,5.149585312747637
Al1Au2Ti1,5.149718745478884
Cd1Co1La4,5.1511853316399225
Au1Ca1In1,5.151677575907253
Bi1Pd1Te1,5.1523547396012725
Br1O1Rb3,5.153054572190558
Ag2In1Li1,5.153881016130437
Al2Hg1Te4,5.1564887901551275
Na8Sb4Sn1,5.157847673776642
Cd1Li2Sb1,5.1599284810986354
Ho1Te2,5.160565652309722
Au1Y2,5.161391648284066
Au2Ca1Ge2,5.162623637758831
Au1Ho1Pb1,5.163928463509385
Ag2Sr1,5.164448774220941
Ru1Tb3,5.166065155421895
O6Sb4,5.166247762133198
C2Cs2Pt1,5.166772570761232
Au3Na1Si1,5.166949346430518
K2O3Pb2,5.167559267644187
Au1Er1Pb1,5.167661834668978
Ga1La1Pt1,5.168738153761942
Au1Dy1Pb1,5.169329920259054
N2O1,5.169648418768785
Cd1Na1Sb1,5.169966815869512
Dy1Mg1Pd1,5.17003503063235
Ag1Au1F4,5.17031352596367
Cl6K2Tc1,5.170523766974511
Dy1Te2,5.171574309520142
La4Rh3,5.172396936924849
Ba1H1I1,5.172413949658881
Cd1La4Ru1,5.17256705124208
Bi5La3Sc1,5.1728958568868935
Cl2F12Pb7,5.173417189015593
In1Mn1Ti2,5.17363810650381
C1Dy3Ga1,5.173666425729451
La4Pb3,5.174006193897575
Dy5Rh3,5.174232641891931
Ir1Yb1,5.1742666046687305
Ge1Pt1Sr1,5.17428924587913
Ag1Bi1Ca1,5.176471714630348
Cd1Sb2Sn1,5.177374970363923
C1Er3Ga1,5.177408826587828
Cd11Na2,5.178824119313153
Co2Ge1Zn1,5.1797815476214115
Ag8Ca3,5.180034831162431
Au1Pb1Tb1,5.181536328724115
Ni1Tl1,5.183271207226519
F6Pd1Rb2,5.183534824903892
Ag2Ca1,5.1847622556086845
Re2Tb1,5.184829468567369
Ir1La4Mg1,5.184969481056711
C1Ga1Ho3,5.185865097076454
Er1Mg1Pd1,5.186536283087287
Ba1Ge1Pt1,5.186815811022334
Rb1Te2Y1,5.186815811022334
Mg1Tb2,5.188028057653457
Ag1Al1Te2,5.188290424482863
In1La1,5.188441114728188
Ag1As1S1,5.188580622489231
Ca2Pb1,5.188586202394875
Ag2Sn2Sr1,5.189629097834572
Cu3Te4V1,5.189656967815538
S1Se1,5.1923733473517935
Ag2In1Sc1,5.1928346211982435
As1Ba1Pt1,5.193378984001712
Ir4Sn13Yb3,5.193651054319686
Cd1Cu4Yb1,5.193762082160031
Hg1La1Pd1,5.194161680347176
Na3Sb1Se3,5.194189424292756
La1Pd1,5.194322584517994
Au2In1Zr1,5.194655407525792
In1Pd2Th2,5.195209866498944
Cd2Yb1,5.19544818937214
K3S3Sb1,5.19589142968767
Hg1Mg2,5.196024363481298
Au2Th1,5.198215223605976
Bi1Pd1Se1,5.1984031042028835
Hg1Sn1Sr1,5.198502556112442
Pb2Y1,5.199110102967468
Cs1F2H1,5.199408218218823
Hf1Pb1S3,5.200412322994893
Ba1Pb1Zn1,5.200561197750145
Cl6K2Mn1,5.200610817743705
Ag2In1Y1,5.201586177588265
Cd1La1Tl1,5.201933110129886
Au2In1Tb2,5.203484572776865
Ba1Pt1Sn3,5.20370993975496
Cd1Sr1,5.203962730066744
Cd1Dy2Se4,5.205094007817202
Ba1Cd2Ge2,5.206015656756166
Ba1In4,5.206202077640231
Cd2Pd1Sr1,5.2073910634987755
Cd1Er2Se4,5.208354365070216
O3Rb2Tb1,5.208852072073272
Ba1Pd1Sn3,5.2089176852834225
As1Na3Se3,5.208945022850435
Ir1Zr3,5.209409647182697
La2Pb1Pd2,5.211707727032918
Ca1Cd1Pb1,5.211838574982336
Pb1Pd2Tb2,5.211876735742721
Al2Cd1Te4,5.211920346257223
Pt2Sc1Sn1,5.212470765488924
La4Mg1Ru1,5.212666881306839
Li1Pd2Sn6,5.213499944714114
Er2Mg1,5.213755713804997
Hf2Pd1,5.215017276025399
Bi1Pt1Te1,5.216358657849601
As1Ca1Rb1,5.2183050750785895
In1La1Pd1,5.219809730049628
Au1La1Pb1,5.220117958952583
Ag1Ge1Tb1,5.220458522507466
Au1Cu4Dy1,5.220777357842525
Se2Th1,5.221528110655978
Au1In1La1,5.22185739985314
K1Na1Te1,5.222057079826172
P2S6Th1,5.222164998347793
Hg2Y1,5.222661273596541
Ba1Ga2Se4,5.222833833359268
Er2Pb1Pd2,5.224315542606548
Dy3Os1,5.224773081646646
La3Pb13Rh4,5.225972454674374
Te12Th7,5.226574288135135
Cu1Te2,5.227712482180485
Rh1Zr1,5.228125562342686
F6Ni1Rb2,5.228361531560523
Bi1Pt1Se1,5.22853847194012
Pt1Y2,5.232198931336577
Er1Pt1,5.232871767472967
F6Mn1Rb2,5.234098794221385
Pt1Zr2,5.234109457418959
Au1Pb1Y1,5.234301375534486
Ru2Tb5,5.234818304985128
In2Pd1Yb1,5.235143247523764
Bi2Pd5,5.235622478207959
Au1Ba1Sb1,5.236335574192156
Ge12Pr1Pt4,5.2366866137515355
Bi1Li1Zn1,5.2369418378716
Au1K3O1,5.237117266675865
Au4Hf1,5.237606178484852
Ag1Dy1Se2,5.237712432037806
Cd1La2Rh2,5.238163883728193
Rh1Sb1U1,5.239479896823542
Ho3Ru1,5.240995409923931
Ir1Sn2,5.241545936643674
Er3Os1,5.2424980557093175
Ag2Ba1Sn2,5.243248532720224
Dy1Ga1Pt1,5.245401704201421
Ag1Mg1Y1,5.24542806237206
C1Ca1Pd3,5.2454333339228185
F6Rb2Si1,5.245907659730292
Dy3Ni2,5.245955079939213
Ag2Na1,5.246034108624032
Au1Ca1Sb1,5.247203003519736
Au2V1,5.247734346171958
Cs1Na1S1,5.248228609571826
Ba1Pd1S2,5.249499952007317
Ba1In2,5.249783419552181
Au2Be1,5.2509741550375155
In1Pt1Sr1,5.252676488168241
Cu3Nb1Te4,5.253252006673966
Hf1Rh1,5.2532886193717765
Sb2Th1,5.254558772771104
Ag1Pd3Se1,5.254788586988214
Ba1In2Rh1,5.255749056439259
Cd1Co1Dy4,5.25676072724237
Ir1Mg1Tb4,5.256984825054185
Ag1Cu4Er1,5.258104561434229
In1La1Pt1,5.258343970199816
Dy1Re2,5.259165851000546
Pt1Sn1Sr1,5.260283149230103
Au1C2Rb1,5.2625036430088725
In24S32,5.26279381047899
In1Pd1Sr1,5.26346708911229
Dy5Ni1Pb3,5.263508506841155
Cd1Co1Ho4,5.263549922854662
Ca1Hg1,5.26361204365894
F3Hg1Rb1,5.265701195313403
Au1Ho1Sn1,5.267136249064462
Ga1Ho1Pt1,5.268172542629326
Er5Ni1Pb3,5.269362182092616
Na2Pd1Se2,5.269753269423283
Rh1Yb1,5.269856161726001
K2Se1,5.269969331032549
In2Rh1Yb1,5.270123632177254
Cd1Se2,5.2704887167292345
Ca7Ge1,5.271244172621103
K2Mg5Sn3,5.271382867807832
Bi1N2Th2,5.271880984474998
As1Cu1K2,5.273476367949006
Cd1La1Pd1,5.273937580022489
La1Sn2,5.274383216252406
Ca3Ir4Sn13,5.275432494010578
As1K3S3,5.27556037942542
Au4Zr1,5.275892804984336
Ge1Hg1Li2,5.276664628852584
Ag1Au1Zn2,5.276920068439956
Pd1Tb1,5.277313317834083
Bi1Ti2,5.279338399950234
Cd3Ho1,5.2806420748680285
Ag1Ho1Pb1,5.280927027343954
Au1In1Li2,5.281135601789254
Cd1Ho4Rh1,5.281155948186671
Tb1Te2,5.282457257304098
Al4In3Sr11,5.282711221689498
As2Ba2Cd1,5.283229109126563
In1S3Sb1,5.2836604772044025
Ge8Na6Pt8,5.284096730908065
Au1Y1,5.2841220886423015
Au1Dy1Sn1,5.284213371161763
Cd1Rh1Tb4,5.2843350682274925
Cd1O2Rb2,5.285135871100467
Ho1Pd2Sn1,5.286123320447331
Dy1In1Pt2,5.288665941018221
In1Pd1Th1,5.2887113764028015
Ba1Cu2Te2,5.28914038658197
F5U1,5.289195892098475
Bi1Er1Pt1,5.289579300604752
In9K1Ni2,5.289897014679888
Ho2Mg1Se4,5.290935185174189
Cd3Sc1,5.291187005838916
Ag1Dy1Pb1,5.292349594768245
La3Sn7,5.292540713770582
La1Pb1Pd1,5.293023378086927
In8Ir1Yb2,5.293239495957449
F3Pb1Rb1,5.293676614898442
Dy1In1Ir1,5.293947834030094
Au1Sn1Tb1,5.2947008347734945
In2Pt1Sr1,5.294761050345259
Au1Li2Sb1,5.295448254579799
Au1Li2Sn1,5.295879397114176
Dy4Mg1Rh1,5.296124964991122
P1Pt5Sn1,5.296806225349085
