formula,target
Be5Fe1,4.825052424999929
Hf1Os1,4.828305737270301
Nb1Re1Si1,4.831588369835958
N1Os1,4.833929936887831
Ir3Pa1,4.837027660554154
C1Hf2S1,4.8384699875466755
Re1Si1Zr1,4.843911457925356
Rh3W1,4.846185089121264
Al2Ru1,4.847229697115218
B2Os1Tb1,4.848077148143251
Ir1Nb1Si1,4.84926864164869
Mo1Rh3,4.8509515573248
B2Dy1Os1,4.85505692894447
C2Pu1W1,4.855197119136059
Be5Co1,4.855749899988104
Be13Pa1,4.855781033480739
C3Nb4Si1,4.860052685569349
Pt2W1,4.860626026769547
Ir1Si1Ta1,4.86397427438902
B2Ho1Os1,4.8642907337517185
Re1Si1Ti1,4.864514510408117
Os1V1,4.867519065721853
Mo3N1Pt2,4.867988193652413
Al1Nb1Ru2,4.870069695542628
B2Ir3Th1,4.871580101914332
Fe2Re3,4.875082812828295
C2U1W1,4.876562802723254
Al3C3Gd1,4.879090498309451
N1V2,4.886363753546669
Be2V1,4.887269202145098
Ta1Tc1,4.893029742688611
Al3C3Tb1,4.906385272722456
Al3C3Y1,4.907398447781487
N3Ta1Th1,4.908912597986386
Hf1Re1Si1,4.91268429706824
Al3C3Dy1,4.919499057923614
Fe2Ge1Ti1,4.9211772901907755
C1Nb2P1,4.922488727568179
Al1Re2,4.924488997362234
Al3C3Ho1,4.9261443744473565
Al3C3Er1,4.933487835585488
C1Ni2W4,4.937440750793198
C3Nb4,4.941613850772562
B12Ni1,4.942763222849421
B1Tc3,4.949893998807069
B1Fe1W1,4.953606283648033
As1B2P1,4.955714375196499
B2Ir1Mo2,4.9639139883626004
C1Ru3Ta1,4.973196459121362
Fe1P1V1,4.975118645750388
Al2Os1,4.976506130312007
B1Ir6Zr2,4.977305992447394
B7Mn1Y3,4.977498966803079
C1Ru3Sc1,4.980499058505492
B2C2Sc1,4.981474212753268
B2C1Sc1,4.981735008318476
N1Ni2W3,4.986561156877223
Os0.67W1.33,4.986868419544837
Fe1Nb1P1,4.987946505841564
B1Nb1O4,4.99011280776372
C1Nb1Ru3,4.991092233109827
N3Nb4,4.997286595326523
B7W1Y3,5.0007061630183705
B2Mo2Ru1,5.009094107077426
Be22Tc1,5.013644096440672
C1H1,5.021291646284759
Al1C3V4,5.028789504676298
B2Be1C2,5.031378655234155
O2W1,5.03719283329614
Be5Pt1,5.038276401130009
Al3C4Hf2,5.05023414087621
C1Ru3V1,5.050964367150684
C1Ru3Zr1,5.05671703188326
B2Mo2Os1,5.060066522581313
Al1Fe2V1,5.06405599062497
N1Tc2,5.070814326456373
B2Ir1V2,5.0723949577833904
Cr1N1Nb1,5.076192046660213
Ir1Mo1,5.0787548955049715
B1P1,5.096366407453586
B2Mo3,5.111963691680678
B2Mo2Nb1,5.111969715904081
B4Re1Th1,5.1206728553050445
B8Nb7Ru6,5.1242139481584665
Ir1W1,5.149295180155008
N1Tc3,5.151011540501674
Be2Re1,5.158428666139418
B2Nb1Ni1,5.163356381113919
B4Os3Sc1,5.165511425005948
Be1N2Si1,5.166264879802913
B4Th1W1,5.169432305843253
B4Fe1,5.177109723612346
N3V2,5.188095051473303
Mg1Mo1N2,5.192006399354215
N3Rh1,5.197037402990667
B6Ru1Y2,5.202021200819308
B9Li1,5.2069912398540135
B7Mo3Y1,5.209879518086118
Re3Ru1,5.215891822172706
B6Re1Y2,5.216798152708888
B1W1,5.22582193969785
B3C1Nb3,5.227927090574643
Ir3Mo1,5.234418640697805
B12Sc1,5.235728942734079
Ge2N4Si1,5.242476907353601
B6Os1Y2,5.2441726422744805
B1Mo1,5.2484020696541025
C1H1N1,5.258005658476169
B12Hf1,5.25898904760546
C20,5.262705732825529
B3Ni1W3,5.2636482790127435
Ir3W1,5.264310636927556
B4Mo1U1,5.284852115594466
C2Os1,5.299661462845766
B4Re1U1,5.301831185847833
B4Nb3,5.303170570678005
B6Ta5,5.317065516509729
B4Ti3,5.324087447241604
B3Co1W3,5.324404128811191
B3Os2,5.325450900104498
B3Nb2,5.343744740012279
B12Dy1,5.353534452785917
B12Er1,5.35478748801357
B12Ho1,5.359101975565837
B12Tb1,5.360846056827982
Co1N3,5.3644234084827
B2W1,5.374069343727492
B1Os1,5.389893310035246
C2Re1,5.404225732108696
B3V2,5.4225153379914826
B4Mn1,5.461719405989413
B2Tc1,5.503606471628383
C1Re2,5.546266694781001
C11N4,5.578230589485063
Be1C1N2,5.677729353660506
B1C7,6.001776198815521
B1C2N1,6.020034997012556
