formula,target
N1,-0.7768070890903006
Br4Ti1,-0.4269533352298655
He2Ne1,0.1537505998059185
Cs1Na2,0.8085897015697893
As1Cd1Li1,1.0061606859031966
Cs2I6Sn1,1.1875567959567652
I6Rb2Te1,1.1906626154659232
Hg11K1,1.2164249535151739
I6Rb2Sn1,1.2513362369120093
I6Pd1Rb2,1.2775698602699104
Cs2Hf1I6,1.280116845141507
Br6Cs2Sn1,1.319310185138358
Au1Li1Sb1,1.3293006395997702
As1Rb3Se16,1.3511411643942837
Cl6Cs2Ti1,1.3562294058044884
Cs2Te1,1.3660967558301722
Br6Rb2Sn1,1.378330231462553
Cs3Hg20,1.3837185465560684
F2Kr1,1.4030285601110557
Cs2I6Te1,1.4078870519625672
Hg11Rb1,1.4100548320841397
Cs2I6Pt1,1.4244062867184577
Br6K2Sn1,1.437023121187924
I6Pt1Rb2,1.4756802084888168
Cl6Cs2Zr1,1.4772519000938051
F2Xe1,1.4989866832765217
Cl6Cs2Ge1,1.5172129683915831
Hg2K1,1.5389296075434848
Cl6Rb2Zr1,1.5400621104957841
Cl6Rb2Ti1,1.5402057265994689
Br6Cs2Pt1,1.5693739638577386
Ag1Cr2Te4,1.5843969891906156
Be2Cs1F5,1.5863002902192913
Mg1Tl1,1.5982576455195756
Cs2S2,1.5992986837408585
Br9Rb3Sb2,1.6000338323588064
Rb1Sb1,1.6033272804930363
Cl4Hg3O1,1.62782581398737
Cl6Cs2Se1,1.632232138863325
Ag1Cd1Sb1,1.642226444933678
Cs2F6Ge1,1.6445675763378125
Cl6Sn1Tl2,1.6711480624985549
Cs2Pt1,1.6782136936920065
K3Sb1Te3,1.6995710782331521
Bi1K3Te3,1.7023561428980392
Cu1K1S1,1.7028808955657302
Cl6K2Ti1,1.7120360161429042
Cs1I2Li1,1.7138105402914174
Bi1Cs3O3,1.7290131189702285
Br5Cs1Sn2,1.7528713674201533
Rb3Sb1Se3,1.7545887866587546
B4H16Hf1,1.7612384041601024
Cs2F6Si1,1.7629037864067731
Rb2Te1,1.7673130763231288
Br4K2Pt1,1.7727244472475194
Br4K2Pd1,1.783727297530791
Cl6Mn1Rb2,1.7860884191782662
Bi1Rb3Se3,1.793594451284895
Br3Cs1Mg1,1.797940328303136
Au1Pb4Rb3,1.7983626203616268
Cs3O3Sb1,1.8001723151263673
Br6Pd1Rb2,1.8002879977199018
Br6K2Pt1,1.8017180508722677
F6Ge1Rb2,1.8047612452937307
Cl6Te1Tl2,1.8146862960937522
Cl6Rb2Se1,1.8313310823472029
Cs1I3Sn1,1.8354190340351138
Cs2Te5,1.837193213265347
Cl2Hg2,1.850633540116052
Ag1Br2Cs1,1.863999507402663
Cl6Pt1Tl2,1.8766121289744486
Cl6K2Mn1,1.8812039948204804
K8Sn46,1.8994682256092412
As4O6,1.9080599249242156
Nb1S4Tl3,1.9082364672032117
K3Sb1Se3,1.9246500315647026
Cl6K2Tc1,1.9249476779717254
Br3Ca1In1,1.9283511743158352
Cl6Pd1Rb2,1.9298809363243559
Cl4Pd1Tl2,1.9320676392053449
Cs1F1,1.9414660027355044
Cl2H6N2,1.9424814205351935
Cs1H1,1.9426949859533145
Au1Cs1,1.9555167150289539
As1K3Se3,1.955781268850576
Bi1K3Se3,1.9613939397788898
Ag1F1,1.972581290870127
Rb2Se1,1.9807145311521703
Cs1Cu1F4,1.9841496117089816
F6Rb2Si1,2.0169795297705884
Na3Sb1Te3,2.0182347973379557
K8Sb4Sn1,2.0199237289991285
Mn2Te4Zn1,2.0205152425217165
Cl4Cu1Rb2,2.0264718429113406
K3S3Sb1,2.0396944900347496
K1Mn1Te2,2.050728231908777
Bi1O3Rb3,2.0563098040401098
O1Rb2,2.0573314041284494
As1K3S3,2.0586685187020284
Br5Pb2Rb1,2.060096884499332
Ca7Ge1,2.063233396485606
F6Mn1Rb2,2.0665829735010877
Cl1Tl1,2.066948831718021
F6Ni1Rb2,2.0689782417805405
Br1Tl1,2.0728800621779895
Cl5Cs1Pb2,2.076507240826782
Pd1Se2Tl2,2.0830338316730486
Au3Sr7,2.0854397663084345
Au1Rb1,2.0872025966282757
Cs1K2Sb1,2.090032756232078
Rb2S2,2.0901873481375826
F6Pd1Rb2,2.090807948631729
Br3Cs1Hg1,2.0935934296567416
Cd3In1,2.1006806367619775
Cs1F2H1,2.1058424503987023
K2Se2,2.107332692026689
Au1In2Na3,2.108216055865366
K10Pb48,2.11822465910207
Ag1Bi1K2,2.1209397075447134
In1Rb1Te2,2.1267150801632475
In1Sr3,2.1307333360662613
Br3Cs1Sn1,2.135719081553093
Ca3N1Pb1,2.1360156181612924
Ba1Cd2,2.1374769319746076
Na3Sb1Se4,2.1415039529109285
K1N1,2.1434908806873367
Au1Li3,2.1534468299903238
Ca3Hg1,2.1616054595339325
K5Sb4,2.1691805494666934
Na8Sb4Sn1,2.203493773683061
Au1Ge4Rb3,2.208828106360476
K2Se1,2.2110891298083266
Sn1Te5Tl2,2.21685834506052
Br1H4N1,2.2261683037259967
Ag1In2Na3,2.2286317242732125
Ho1Pd1Sb1,2.2327729574304804
Au1K1Se2,2.2344283004670817
Ca3N1Sn1,2.236510459306138
P2S6Th1,2.2440657535147555
O1Pd2,2.255125493231058
Cs3Ni1O2,2.2563086667364702
As1Na3Se3,2.2643659580937667
Ca3Tl1,2.270010247061867
Tl3Yb1,2.2727782499929354
B6H6K2,2.279481242652284
Ag1Br1,2.280918048752224
Br1Se2Tl5,2.2882964954553136
F6Na1P1,2.2909122294328723
Ba2Cd1,2.2917405024098074
Br3Cs1Dy1,2.2950004018076036
Au1F4K1,2.3017267247013673
H3Li1Sr1,2.3023480649051073
F5Mn1Rb2,2.3109698425284386
Br1O1Rb3,2.3111582383386766
