formula,target
C2Co1Th1,2.7440349148217202
B2Nb1Ni1,2.7442213974070375
Al3C3Gd1,2.7446135404092566
C1Ge1V2,2.748788992161153
La1Os2Si2,2.756567312123008
Mo3Ti1,2.7570181272488234
Al3C3Tb1,2.7644935445254215
C1Hf2S1,2.768875587077898
Be1Hf1,2.7741063201053886
Cr1O4P1,2.7769230653885852
As1C1Nb2,2.7770350725571613
Be2Re1,2.7781233777382557
C1Sc3Sn1,2.7816723409728237
Al3C3Dy1,2.7817280807794207
Al3C3Ho1,2.782600932366506
Ge2N4Si1,2.7843011136134703
Ag1Mn3N1,2.787218680595779
Nb1Ru3,2.787274112114771
H2Nb1,2.78978378612888
Al3C3Er1,2.792513891047051
P2Ru2Y1,2.7957374607428043
Co1Ge1Ta1,2.7973971817781726
C2Co1Sc1,2.817317076990254
Al3Os2,2.828336766976632
B4Re1Th1,2.8286736434259487
N1V2,2.8347944463960655
O1Yb1,2.860078630548367
C2Ge1Ti3,2.86520208708717
C1In1Sc3,2.872332242071761
Li1Nb1O2,2.8791928393047304
S1Ta1,2.8811684257477572
N1Pa1,2.886826592327301
Al3C3Y1,2.901207285406
O1.03Sc1,2.914316123139623
N1Tc2,2.9322119005942793
Li1N1Zn1,2.933691962622435
C1Ru3Ta1,2.9419516778693438
C2Co1Ho1,2.948467695086688
Al1C3V4,2.9497406897029976
O2W1,2.953315257663194
H2Sc1,2.953977552512898
B2Mo3,2.958160200646234
B1Nb1O4,2.961699678809783
Re1Ti2,2.963849372686264
B4Th1W1,2.964669791352172
B2C2Tb1,2.9654586158641636
B3Os2,2.967368806614465
Ca1P2Ru2,2.972095103787837
C1Ge1,2.973169640944847
Co1Nb1,2.982525446066709
B2C2Gd1,2.9862625771775653
C1Ga1Sc3,2.9921809751518613
Be1Hf1Si1,3.001033198791041
Os1V1,3.015480977827723
Be1Rh1,3.0216192945058373
N3Nb4,3.0261790309611976
N3Ta1Th1,3.028373698269753
Co1N3,3.0313310507938542
Ir1Mo1,3.037435479693214
B4Mo1U1,3.048604570660348
C1Nb1Ru3,3.0507979435767982
C1Nb2P1,3.0544774833226667
B2Mo2Nb1,3.0609721112116315
B3C1Nb3,3.069716666643563
Ir1W1,3.073877798097779
C3Nb4,3.078670784339553
Rh1Ti2,3.089245385052437
Be2Si1,3.0930223103292294
B6Ta5,3.1063340298817863
B2W1,3.114417124674766
B1C2Sc2,3.1240595230860455
C1Ru3Sc1,3.131787353997823
C1Ru3V1,3.1318746296449183
Fe2Ge1Ti1,3.1506098319981106
B2C2Sc1,3.1663396531653705
Be1Ta2,3.171381620579881
C1Ru3Zr1,3.1768781394942236
B1Sb1,3.183563623521543
Al1Nb1Ru2,3.186269985119286
B2Fe1,3.1894264166429127
Co1Ta1,3.1920060439659497
Al1Tc2,3.2178833325105614
Be5Pt1,3.223417495849468
Cr2Ga1N1,3.2417599739053977
B12Ni1,3.244138031306753
C2Cr1Sc1,3.256942025674657
C2Os1,3.2710165600763252
Re3Ru1,3.273875243086805
Cr1N1Nb1,3.2744089185907086
B1Hf1,3.294587938270521
Al1Re2,3.296033143037028
C20,3.320840180096154
Mg1Mo1N2,3.3231745770546346
Os1Zr1,3.3244495178021367
C8Cs1,3.337984204090891
N1Tc3,3.3573952565160763
C1Ce1,3.3603198300430774
N3V2,3.396030724110796
Hf1Os1,3.398707618104911
Be5Co1,3.4223520357345523
Al1Fe2V1,3.4481286763465877
B12Hf1,3.4489361997100896
B2Be1C2,3.4557676342856793
B3Nb2,3.461564715480911
Al2Ru1,3.4734839341329407
B6K1,3.4754758154769387
C1Re2,3.481043146866874
Be5Sc1,3.4825930198661497
Al2Os1,3.483360915715779
B1W1,3.486907078500312
B9Li1,3.5135285458007828
Be5Fe1,3.5825462433193196
B12Er1,3.6209859780702858
Ta1Tc1,3.6243835987328357
B12Tb1,3.6314410010666687
B12Dy1,3.6361061176358147
B12Ho1,3.6362141663421683
B4Nb3,3.6575203573141835
C1H1N1,3.6709344004590596
B3V2,3.6732733092553977
C11N4,3.6872130664609273
B12Sc1,3.6917727644518905
Be1N2Si1,3.7295702400267183
B1Mo1,3.7682057513806546
As1B2P1,3.77078887992299
B2Ca1,3.7772405448300543
Be1C1N2,3.7815725760440806
C2Re1,3.9038799404856785
B2Tc1,3.9163416665721624
C1H1,3.9177227310867853
B4Ti3,3.9656926740006084
B1Os1,4.021556999994662
B1P1,4.189598679848911
B4Mn1,4.229987889807854
B1C7,4.825172809749734
B1C2N1,5.234423970605784
