formula,target
Hg11Rb1,-4.464764972295428
Hg11K1,-4.438529263587784
Cs3Hg20,-4.287829801682904
He2Ne1,-3.161543676121035
Hg5Pd2,-2.463471238562235
Cs2I6Sn1,-2.264952178187195
Ag1Cr2Te4,-2.2395164015270628
As1Cd1Li1,-2.1548118487046124
Ba1Hg2Tl2,-2.0944902069813547
Cd3In1,-2.0574139404944822
Au1Li1Sb1,-2.035447623033973
Cs1Na2,-2.029265671378101
K10Pb48,-1.9980754024360057
Au2S1,-1.9477398218862474
Au7Cd16Na6,-1.9280947891853117
K8Sn46,-1.919133855178838
Cs2Te1,-1.8880611403975351
Au1In2Na3,-1.8450906281253836
Cs1I2Li1,-1.8087123608807172
Au6In5Na2,-1.7834699226545458
Cd11Na2,-1.7833806696131893
Hg3Yb1,-1.7102089757581194
I6Rb2Te1,-1.6494165127112874
As1Pd5Sb1,-1.6030583054700613
Ag9In4,-1.5809476420344728
Ag1Cd1Sb1,-1.561047828286008
Au3Ge1Na1,-1.525027832552647
Tl3Yb1,-1.513827777620778
Mn2Te4Zn1,-1.4837793040080913
Ag1Te1Tl1,-1.4554043823257456
Ag1In2Na3,-1.4426954147706603
Mg1Tl1,-1.434724390145769
Ca1Hg3,-1.4335536976041516
Ag1Pd3Se1,-1.417826308733053
I6Rb2Sn1,-1.3869025460268434
Hg1Pt3,-1.3429284052151205
I6Pd1Rb2,-1.3279726242027012
As1Rb3Se16,-1.3066480396893094
Ag1Br2Cs1,-1.3063525816163537
Au1Pb4Rb3,-1.2690910490262999
O1Pd2,-1.247771446892747
Br1Se2Tl5,-1.2193978273287498
Au4Li15,-1.2153944503659795
Bi1Cs3O3,-1.214535055697615
Au3K1Sn3,-1.2110074898070626
Cs2Pt1,-1.2035229055455712
Au3Na1Si1,-1.1793484867505426
Ho1Mn6Sn6,-1.1735729319348527
Au4In2K1,-1.1662371677121182
Ag8Ca3,-1.16498288703474
Cs2Te5,-1.1646046661428224
Au3Sr7,-1.1645565974622827
Cl4Hg3O1,-1.1630292171983616
Rb1Sb1,-1.157680996546657
Hg2Mg1,-1.157330977928457
Br3Cs1Dy1,-1.1500782295371537
Cd11La1,-1.1360836528249698
Be2Cs1F5,-1.132734899258271
Ag1Se1Tl1,-1.126345318646647
Pd1Se2Tl2,-1.1262898016445508
Br4Ti1,-1.1256330843747213
Bi1K3Te3,-1.1095266340339904
K8Sb4Sn1,-1.094326485855401
Cs3O3Sb1,-1.0700190009294068
Br3Cs1Hg1,-1.0658614988649617
Na8Sb4Sn1,-1.0611113226633888
Au1Li2Tl1,-1.0610535327240234
K3Sb1Te3,-1.0579695102060933
Cs1I3Sn1,-1.0550098431866886
Cd1Sb1Tl1,-1.0257066819231992
Au2Ga1,-1.0255895480222834
Ag3Na1S2,-1.0153102828973068
Ag2Ba1Te2,-1.0061169759784891
Bi1Rb3Se3,-1.005594734923669
Cs1In3,-0.9966334845566935
Cd11Th1,-0.9561132260613266
In14K3Mg20,-0.9452253289722714
Ag1F1,-0.9025752209882139
Au3Zn1,-0.8879122375725403
Ir4Sn13Yb3,-0.873413251313488
Ca3Co4Sn13,-0.8625959483712681
Ge12Pr1Pt4,-0.8601538118035883
Cs2I6Te1,-0.8254062400864726
