formula,target
Cl6Cs2Se1,-8.962808644651616
Ca3Tl1,-8.962207666679273
Cl2H12Sr7,-8.961903412975367
Br2H12Sr7,-8.961724024688941
Au1Li2Sn1,-8.955612885920164
Be1Zn13,-8.954017396324154
Cl6Sn1Tl2,-8.953228337892893
Br3Ca1In1,-8.953197407109029
Ba1H1I1,-8.947953030852652
Hg1K1Sb1,-8.946899763897436
Ag9In4,-8.946592449820033
Au1Pb4Rb3,-8.942881415213435
Ag1Li2Sb1,-8.94067971412222
Br3Cs1Ge1,-8.93976376742734
Br1Li3O1,-8.937424282037515
Ag1F3Rb1,-8.931572916913975
O2Rb2,-8.930098408622095
Ag1F3K1,-8.927834171268465
F2Xe1,-8.92665879082981
K5Sb4,-8.925875970680389
Ag1Ga1,-8.923080888802675
Cu1Li2Sn1,-8.922578302724231
Cl4Mg1Na2,-8.920832467370843
As1Cu1K2,-8.917939450824461
Br3Cs1Mg1,-8.91725293486585
F3K1Pd1,-8.910784077962111
Cl4Pd1Tl2,-8.909073492280468
Ba1Cd2,-8.907646541903963
Na8Sb4Sn1,-8.902723328045658
Sr1Tl2,-8.900556845966971
Br3Cs1Sn1,-8.899391092586056
Ag1Bi1Li2,-8.898248653794644
In1Sr3,-8.896851673531105
Cl6Cs2Ge1,-8.89579244038984
Rb2S2,-8.892905341375053
Ga1Li1Mg2,-8.885976865305059
Au1In1Li2,-8.880317459034877
Br6Pd1Rb2,-8.877223759168333
Cs1I3Sn1,-8.87709476389798
Cs2S2,-8.871321381088393
Cd1Li2Sb1,-8.862638566498662
K2Se2,-8.855305772668084
Br3Cs1Dy1,-8.847101020979888
Ge1Li2Zn1,-8.846100117302807
Cl4K2Mg1,-8.840274488219883
Ag2In1Li1,-8.83782554400804
Hg5Pd2,-8.832623373070744
Cs1I3Pb1,-8.828792343928164
Cl4Cu1Rb2,-8.826459877959978
K8Sb4Sn1,-8.821967168494883
Br1Se2Tl5,-8.820645631660405
Li1Na1Te1,-8.817967257914324
Br4K2Pd1,-8.817622836690521
Cl8Li6V1,-8.816151940596463
Br6K2Sn1,-8.81469666969904
K1Li1Se1,-8.813754568474613
Ge1Hg1Li2,-8.807839653332033
Ag1F1,-8.799476529959572
Cs1H3Mg1,-8.797449569374214
K1Na1S1,-8.795730537955441
Ag1Br1,-8.792597610329178
Br6Rb2Sn1,-8.791228801834167
I6Pd1Rb2,-8.783394307192747
Au7Cd16Na6,-8.782011965729952
Br6Cs2Sn1,-8.773925843224083
I6Rb2Te1,-8.768427622896972
Cs2I6Pd1,-8.765346905734615
Ba1H3Li1,-8.764066069429683
Ca4Hg9,-8.760303508496609
Cs2I6Te1,-8.759462224341522
Ba3Mn1N3,-8.75552652557207
Au3K2,-8.741925504143744
Cl1Na3O1,-8.740136762727781
Cs1Na1S1,-8.734367096577412
Br8Li6Mg1,-8.713938268875916
Tl3Yb1,-8.712484492908878
K1Na1Te1,-8.708420285050757
Br3Cs1Hg1,-8.702090061484572
Ag1Bi1K2,-8.701428578415465
In1Li2Mg1,-8.700965800477507
Na3Sb1,-8.694658558609616
F2Kr1,-8.693942303161716
Rb2Se1,-8.690071476582897
Cd1Cl8Na6,-8.68593142072852
Au3Rb2,-8.685103096734906
Ga3Rb1,-8.684967080531028
In4K1,-8.67114305807506
Ca1Hg3,-8.667080472457538
Ag2Na1,-8.662103363212045
Ba1Hg2Tl2,-8.654164780450788
Mg1Tl1,-8.65229152533802
K2Se1,-8.641912099723733
Cd1Na2Pb1,-8.629147621444739
Au1In2Na3,-8.621737373698172
Cs2Pt1,-8.621165781799215
Ca1H3Rb1,-8.6180361488458
I6Rb2Sn1,-8.612300891720919
K1Na2Sb1,-8.604970316061236
Cs2I6Sn1,-8.601161929203442
Rb2Te1,-8.593297000081131
Cs1F2H1,-8.58883420900671
Cl6K2Mn1,-8.579755000869616
Au1Li2Tl1,-8.578924988424985
O1Rb2,-8.559730197395476
Cs2Te1,-8.558900994816028
Cl6Mn1Rb2,-8.556349906617431
Cs1In3,-8.545865336854126
Li3Pb1,-8.539213876785507
H3Li1Sr1,-8.536620689082335
Br1K3O1,-8.532804414930455
Au1Li3,-8.529235408739025
N1Na1,-8.525568163798427
I1K3O1,-8.514422034620452
Au1K3O1,-8.505467210240829
Ag1In2Na3,-8.504479355829496
Cl1Tl1,-8.488824417365795
Ag1Br2Cs1,-8.488430822749072
Cs2H4Mg1,-8.483216975861305
Au4Li15,-8.480576828178513
Br1O1Rb3,-8.45462222965474
Br1Tl1,-8.426607792193083
Cs1K2Sb1,-8.414203483904865
Hg3Yb1,-8.384433971840604
H5K3Zn1,-8.352929534840316
Cd11Na2,-8.321766220277551
K1N1,-8.297543737356305
H5Rb3Zn1,-8.287101832114642
Cs1I2Li1,-8.278129047967216
Cd3In1,-8.266745805574683
Cs1F1,-8.21759242957093
Au1Rb1,-7.960716611356233
Hg2Mg1,-7.896909757379853
Hg2K1,-7.893275517481986
Au1Cs1,-7.884688132825853
Cs1H1,-7.882340069296534
Cs1Na2,-7.849317666059484
