formula,target
B1C7,-11.80020095342182
B1C2N1,-11.713501831548156
Be1C1N2,-11.266432641968539
C11N4,-11.265901337995482
C1H1N1,-11.111950422134928
Os0.67W1.33,-11.046446791086295
B2Be1C2,-11.046152047244778
Re3Ru1,-11.04287183697445
C1Re2,-11.02405101497424
C1H1,-11.015112135085225
B9Li1,-10.989949950958387
Ir1W1,-10.972789613544116
C6Cr3W20,-10.945914233720327
Ir3W1,-10.944689792360366
Ta1Tc1,-10.903181632716066
Re2Zr1,-10.894167834664936
Ir3Mo1,-10.892988966941079
B12Sc1,-10.892348977245119
Ir1Mo1,-10.87911436175683
P1W3,-10.866455931515983
Fe2Re3,-10.859075400482192
Co1Ge1Ta1,-10.854752825326187
B2Tc1,-10.853929867341174
N1Tc3,-10.848836412010296
B4Mn1,-10.836451513385157
Be1N2Si1,-10.836131268573055
B2Mo3,-10.827089949605675
B1W1,-10.82623407827647
B1Mo1,-10.825137620028187
B3Nb2,-10.823485146341609
B1Tc3,-10.82316400951449
B4Nb3,-10.821695120367062
B2Mo2Nb1,-10.818534058780122
C3Nb4,-10.81765054964422
B3C1Nb3,-10.817386147851732
B2C2Sc1,-10.817146749936343
B1Os1,-10.813478171861803
B3Co1W3,-10.808353793140954
Hf1Os1,-10.807548375552653
N1Tc2,-10.800618020247876
Re1Si1Ta1,-10.799539477744352
B2Mo2Os1,-10.799416989668414
B4Ti3,-10.798427835999632
C2Os1,-10.796462228595695
C2Re1,-10.794437101699184
Re5Si3,-10.79382792652787
N3Nb4,-10.785545954114548
Re2Sc1,-10.78109617781794
B3Ni1W3,-10.778386852050533
B8Nb7Ru6,-10.777236170144613
Ir3Pa1,-10.77630700235341
C60K6,-10.774671084511517
C1Ru3Ta1,-10.772894698511433
C1Nb1Ru3,-10.770021920495525
Dy1Re2,-10.769479734617125
C3Nb4Si1,-10.76856724340545
B2Mo2Ru1,-10.766171168972463
Re2Tb1,-10.763861196251922
B6Ta5,-10.76068424510258
Os1Zr1,-10.760099992575794
Ir1Si1Ta1,-10.75688330064063
B3Os2,-10.756305956454714
B2W1,-10.755644532680797
Cr1N1Nb1,-10.754861709743953
B2Ir1Mo2,-10.754814853559632
