formula,target
CC#N,1.5129623829642616
CN(=O)=O,1.5129623829642616
CCC#N,1.5226395333501495
C#C,1.5274781085430937
O=C1CCC(=O)N1,1.5323166837360378
CC=CC=O,1.541993834121926
C/C=C/C=O,1.541993834121926
NC(=S)N,1.541993834121926
OC1C(O)C(O)C(O)C(O)C1O,1.5565095597007583
Cc1ccncc1C,1.5613481348937024
Cc1ccnc(C)c1,1.5710252852795905
Cc1cccnc1C,1.5710252852795905
Cc1cncc(C)c1,1.5710252852795905
C1OC(O)C(O)C(O)C1O,1.5758638604725348
CCOP(=O)(OCC)OCC,1.5952181612443113
CC(C)O,1.5952181612443113
Cc1cccc(C)n1,1.6048953116301994
COC(=O)C,1.6097338868231434
CCC(C)O,1.6145724620160875
COCOC,1.6194110372090316
C1CCOC1,1.6242496124019756
CCc1ccccn1,1.633926762787864
CCC(=O)C,1.638765337980808
Nc1nc[nH]n1,1.6397330530193968
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,1.6402169105386912
COP(=O)(NC(C)=O)SC ,1.6484424883666962
C=CC=O,1.6629582139455283
CCC=O,1.6677967891384726
COC=O,1.6677967891384726
NC(=O)c1cccnc1 ,1.6823125147173048
CCCO,1.687151089910249
Oc1ccccc1O,1.687151089910249
OCC1OC(O)(CO)C(O)C1O,1.6968282402961372
CNC(=O)C=C(C)OP(=O)(OC)OC,1.7021506730083755
OCC(O)C(O)CO,1.7258596914538016
Cc1cc(=O)n(c2ccccc2)n1C,1.7331175542432178
OCC1OC(O)C(O)C(O)C1O,1.745213992225578
c1ccncc1,1.7548911426114664
OCC2OC(OC1(CO)OC(CO)C(O)C1O)C(O)C(O)C2O ,1.7694068681902988
Oc1cccc(O)c1,1.779084018576187
CCOC(=O)N,1.7984383193479634
CN(C)C(=O)N(C)C ,1.8419854960844602
NC(=O)N,1.8516626464703483
Oc1ccncc1,1.8806940976280129
Oc1ccccn1,1.8806940976280129
O=C1CCCN1,1.9048869735927334
OCC(O)C(O)C(O)C(O)CO,1.9145641239786217
c1ccnnc1,1.9194026991715658
CCO,1.9194026991715658
c1cncnc1,1.9194026991715658
CN(C)C(=O)C,1.9242412743645099
OCC(O)CO,1.929079849557454
CNC(=O)C(C)SCCSP(=O)(OC)(OC),1.9406924300205197
CNN,2.035528503802224
CO,2.1468157332399382
CC(=O)N,2.1516543084328825
