formula,target
CCC,1.4667393465640355
CCCCCCCC=C,1.4819383086685824
CCCC,1.492070950071614
CC1CCC(CC1)C,1.4946041104223717
CCCC1CCCC1,1.4996704311238875
CC(C)C,1.5427341570867703
CCCCC,1.5427341570867703
CC(C)C(C)C,1.5528667984898015
CCC(C)C,1.5629994398928329
CCCCCC,1.5883310434004112
CCC(C)(C)C,1.595930524452685
CCCC(C)C,1.595930524452685
CCC(C)CC,1.595930524452685
CC(C)(C)C,1.595930524452685
CC[C@@H](C)C(C)C,1.5984636848034426
CCCCCC1CCCC1,1.6060631658557158
CCC(C)(C)CC,1.608596326206474
CC(C)C(C)C(C)C,1.608596326206474
CCCCCCC,1.63646109006481
CCC[C@H](C)CC,1.6465937314678412
CC(C)CC(C)C,1.6769916556769353
CCCC(C)(C)C,1.6896574574307244
CCCCCCCC,1.6896574574307244
CC(C)CC(C)(C)C,1.692190617781482
CC(C)CCC(C)(C)C,1.7023232591845134
C(=C(F)F)(C(F)(F)F)F,1.7023232591845134
CCCCC(C)C,1.7023232591845134
CCCC[C@@H](C)CC,1.7124559005875448
C(F)(F)(F)F,1.750453305848912
CCCCCCCCC,1.75298646619967
CCCCCCCCCC,1.760585947251943
C1(C(C(C1(F)F)(F)F)(F)F)(F)F,1.8289812767224052
