formula,target
CF,0.9381324025145166
COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-1.7076605820721982
CCBr,0.7978864950746499
C[C@@H](C(F)(F)F)O,-0.12450005001062688
c1cc(c(c(c1)Cl)Cl)Cl,0.6630346609978551
COc1cccc(c1O)OC,-0.8796703208406781
CCc1cccc2c1cccc2,0.350178405939691
Cc1cc(cc(c1)O)C,-0.6935747898147011
c1ccc2c(c1)Oc3ccccc3O2,0.14790065482449868
CCl,0.8491301920238319
CCCC(=O)C,0.04811029760767053
c1ccc(c(c1)O)F,-0.42926519502418325
CCc1ccccc1C,0.768219091577755
Cc1cccc(c1)O,-0.4832059286549013
c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,0.46884801992727043
Cc1ccnc(c1)C,-0.31329261771813965
CC(=C)c1ccccc1,0.6630346609978551
Cc1cccnc1C,-0.3025044709919961
c1ccc(cc1)c2cc(ccc2Cl)Cl,0.33399618585047564
CCOCCOCC,0.04271622424459873
CCCCCC1CCCC1,1.6852115632999598
Cc1ccccc1N,-0.49399407538104473
COS(=O)(=O)OC,-0.37802149807500113
CCCCI,0.9300412924699089
CCCCNCCCC,0.12362732469067553
COc1cc(c(c(c1O)OC)Cl)C=O,-1.1008273287266215
C(C(F)(F)F)O,-0.16495560023366512
c1c(c(cc(c1Cl)Cl)Cl)Cl,0.636064294182496
CC(=O)c1ccc(cc1)OC,-0.1892289303674885
CCCCCCCCC,1.8416396908290422
c1ccc(cc1)Oc2ccccc2,0.2234176819075038
CCCCCCCC=O,0.3798458094365858
C(C(F)(F)F)Cl,1.0136494295975216
CC(C)C(C)C(C)C,1.687908599981496
CC(C)O,-0.28092817753970895
CCCS,0.7007931745393575
Cc1cc(cc(c1)C)C,0.7547339081700756
CCCCCCCC(=O)OC,0.44727172647498326
CC(C)(C)c1ccccc1,0.8787975955207269
C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O,-1.9099383331873907
CCc1cccc(c1)O,-0.6881807164516294
C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-0.3375659478519627
CC(C)CBr,0.9893760994636988
CCCOC=O,0.3286021124874038
CCCCOC(=O)c1ccc(cc1)O,-1.3543487767909963
C=CCC=C,1.2482916208911448
CC/C=C\C,1.3507790147895087
CC(C)Br,0.8680094487945832
C(F)(F)Cl,0.8626153754315113
COc1ccc(cc1)N,-1.019916228280545
C[N+](=O)[O-],-0.08674153646912418
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-5.871885218363623
CC(C)CC(C)C,1.7607285903829655
CC[C@H](C)O,-0.2485637373612781
CC=C(C)C,1.3507790147895087
CCOCC,0.5686383771440986
CCC(=O)N,-1.537747271135437
c1c(c(=O)[nH]c(=O)[nH]1)Cl,-3.7870758635363746
C/C=C/C=O,-0.1406822700998422
C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-4.536852061003354
CCCCCCCCCCO,0.01574585742923973
C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,0.06968659105995774
Cc1cccc(c1N)C,-0.407688901571896
CC[C@H](C)Cl,0.9974672095083065
c1ccc(cc1)F,0.7817042749854344
c1cc(ccc1O)F,-0.6719984963624142
CCc1cnccn1,-0.4724177819287576
CCCCCCCCC(=O)C,0.3663606260289065
c1ccc(cc1)C(F)(F)F,0.9300412924699089
CCc1ccccc1O,-0.5290555522410114
CCCCOCCCC,0.7736131649408269
CCC(C)(C)O,-0.19732004041209592
C(CO[N+](=O)[O-])CO[N+](=O)[O-],-0.29711039762892416
Cc1ccc(cc1)O,-0.6558162762731985
CC(=C)C,1.3103234645664703
Cc1ccccc1[N+](=O)[O-],0.03192807751845513
CCc1ccncc1,-0.2782311408581731
C1C=CC=CC=C1,0.7304605780362525
c1ccc(cc1)Cn2ccnc2,-1.0603717785035829
CCCCc1ccccc1,0.8895857422468704
CCCCCI,0.9597086959668037
CN(C)C(=O)Nc1ccccc1,-1.464927280733968
c1cc2ccc3cccc4c3c2c(c1)cc4,-0.221593370545919
c1ccc(c(c1)N)Cl,-0.32677780112581917
COC,0.48233320333494994
C=CCO,-0.35914224130424993
c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,0.037322150881526926
c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,0.17756805832139355
CCCCCC(=O)N,-1.5134739410016143
c1cc(cc(c1)Cl)O,-0.7879710736684576
C(CCl)OCCCl,-0.14337930678137825
CCCCC#N,0.04811029760767053
c1ccnc(c1)Cl,-0.18653189368595233
CCc1cccnc1,-0.24047262731667035
C(=C/Cl)\Cl,0.7870983483485063
