formula,target
C,1.5370115873251553
CCCCCCCC=C,1.5526316856689777
CCCC,1.5630450845648594
CC1CCC(CC1)C,1.5656484342888297
CCCC1CCCC1,1.5708551337367707
CCCCC,1.615112079044267
CC(C)C,1.615112079044267
CC(C)C(C)C,1.6255254779401482
CCC(C)C,1.63593887683603
CCCCCC,1.6619723740757337
CCCC(C)C,1.669782423247645
CC(C)(C)C,1.669782423247645
CCC(C)CC,1.669782423247645
CCC(C)(C)C,1.669782423247645
CC[C@@H](C)C(C)C,1.6723857729716154
CCCCCC1CCCC1,1.6801958221435263
CC(C)C(C)C(C)C,1.6827991718674968
CCC(C)(C)CC,1.6827991718674968
CCCCCCC,1.7114360188311712
CCC[C@H](C)CC,1.7218494177270527
CC(C)CC(C)C,1.7530896144146975
CCCCCCCC,1.7661063630345493
CCCC(C)(C)C,1.7661063630345493
CC(C)CC(C)(C)C,1.7687097127585194
CC(C)CCC(C)(C)C,1.779123111654401
C(=C(F)F)(C(F)(F)F)F,1.779123111654401
CCCCC(C)C,1.779123111654401
CCCC[C@@H](C)CC,1.7895365105502825
C(F)(F)(F)F,1.8285867564098381
CCCCCCCCC,1.8311901061338087
CCCCCCCCCC,1.8390001553057194
C1(C(C(C1(F)F)(F)F)(F)F)(F)F,1.9092905978529204
