formula,target
U(MnSi)2,861.0
Mn3Fe,783.7871114496875
Ti2GaFe,575.0
Ti2InFe,571.0
Ti2MnSi,512.0
ReC,411.2882915974768
WC,385.1942481675284
OsC,383.89257012062416
BC5,378.0
TcOs3,377.9061716183263
WN,375.0
ReN,373.68019827253096
OsC2,362.2825121713664
Mn3Ir,359.0
WN2,352.93010261110163
TcN,352.0
Ir3W,351.26517523293023
Re3Ru,351.0
MoC,349.84814051497244
CoReB,349.513293387662
BW,341.9527301987795
CrC,341.7788932070904
IrN2,339.30097103928983
Co(BW)3,338.9423903674788
CoRe3,337.8084618032432
RuC,337.72734937121743
ReB2,337.47653937194406
MoIr3,337.0
CoBW,334.79569594585394
Co(BW)2,334.51117488111936
IrW,334.1922346468943
W2C,334.1754456048781
BW2,329.8215672027768
ReN2,328.0
TcB,328.0
MoN,326.8661894758168
Re3Ni,326.01984579508144
Tc3Os,325.75044340264344
TaIr3,324.7022600778625
B2CN,324.4140370129595
Re3Pt,324.16291347404035
Ir3Rh,324.0
TaC,323.9362332158224
FeRe,321.58227371291804
B2W,321.38844578422686
VIr3,320.28769628890046
Cr3C2,319.8210813019853
Mn2B,319.72079611545763
Fe(BW)2,318.5346863130857
BMo2C,317.08715201644435
BeCN2,316.0
NbIr3,313.4210495198472
NbN,313.0
BMo,311.47458547498445
MoIr,310.15908550914764
Fe3Re,309.7738120736377
Ru3W,308.71100304635485
Fe2B4Mo,308.273524010603
TiOs3,308.0
VN,307.75669388841146
CrIr3,307.18353522658464
TaN,307.0
VC,306.75864520688685
Mn(BW)2,305.8433892797284
V2CN,305.5792162861778
CoBMo,305.0
Co2B4Mo,303.0
CoB,302.6398380471182
TaB2,302.2991081338895
NbC,300.1480448905786
Mo2N,299.9928504733263
Cr3B4,299.0249864649813
SiIr3,299.00182437285014
Re3Pd,296.6812430094841
Ni(BMo)2,296.23430479972257
B2Mo,295.0
FeB,294.4980109754701
TiIr3,294.4639072434695
Mo2C,294.3365694125606
BMo2,293.5094078426498
Ta4N5,292.32864423313686
TiNbN2,292.0
Mo3Os,291.944530489364
V(CrC)2,291.1023930473126
Cr5B3,291.04539040803326
V2ReOs,290.7931964034988
TaMoN,290.0
VCoB3,288.99542418746023
MnWN2,288.4189675259079
Mo3Ir,288.0
CoTc3,287.61449452799167
NbB2,287.0
BeSiOs2,286.2895604838416
B2Ru,285.54069537853246
VB2,285.5389712527296
TiRe2W,285.04313124776866
Cr2N,285.039262769158
Pt3W,284.48757756923555
VOs,283.7846053866315
Tc3Ni,283.5483419506156
Tc3Pt,283.00445046392394
Rh3W,282.9558405787013
Cr3Os,282.0
OsO2,281.0
TiN,280.93937413147614
Nb4N3,280.42872825178085
V2B3,280.3582037551264
NbCrN,279.9856040000043
BeVOs2,279.96809244183885
Co3W,279.2945278634349
TiSiOs2,278.9728230212238
V3B4,278.0
V2TcOs,277.62285713245444
VSiOs2,277.54459058711655
CrB4,277.0
ReO2,276.67593836018693
MgTa2N3,276.30261500880226
Cr3Ir,275.7963193941347
HfIr3,275.7483541613888
BRh,275.14304284700194
HfOs2,274.0174254754554
Nb3B4,273.9442218478777
TaIr,273.6917625902487
Ni2Mo3N,273.4835729877831
TiReTc2,273.3638862175095
PtN2,273.2244888994452
VIr,273.0
VB,272.63524244438105
AlVOs2,272.5805307097345
Ta2N,272.4171242777369
Ta2OsW,272.3176985889336
TaAlOs2,271.90010173755667
MoPt2,271.5315620821225
SiB2Mo5,271.009920808219
NbRu3,270.5559607087714
Fe7W6,270.4782304061107
Co2Mo3N,270.1761037099535
IrO2,270.0238509633652
Nb4N5,270.0
BeRu2W,270.0
HfNbB4,269.49524652564446
MoRh3,268.463354112688
TaTiOs2,268.2819441829859
V2N,267.3453734787041
ZrIr3,267.2489585388309
Si3W5,267.1357439884306
FePt3,267.0
Cr3PtN,267.0
FeN,266.9981173031348
MnIr,266.87463701339186
MoRh,266.3002545271557
Mo3Pt,266.0291015008437
HfN,266.00759294575096
V2CrOs,265.1665691368661
TaRu3,265.0
ZrOs2,264.80771647924234
MnV2Os,264.6128867603709
Cr3Ru,264.37429536183333
Co7Mo6,264.0
TaFeP,264.0
