formula,target
NbO2,235.0
ScTaOs2,234.72777596668308
AlCo3C,234.4545096535532
Si3N4,234.448028275992
Ni4W,234.14774906549843
TiPt3,234.0999271989384
ScRu3C,233.7018107131985
RhO2,233.62425553539512
ScReTc2,233.3932947811257
Fe5C2,233.33559341816823
TiVTc2,233.2168685397152
VO2,233.0574742138792
VRh,233.0469868696207
HfPt3,232.92314052951767
Ni2Mo,232.91689521273915
Rh2O3,232.71283783802312
Mn2Nb,232.70201395064328
Si3Ru4,232.28337222505783
Ta2VRu,232.1745823571228
Ta2CrFe,232.0646679549094
ZrCdO3,232.0
Al2O3,231.8769887517088
V2CrFe,231.84432007415032
MnV2Cr,231.02718684071252
NbCo2,231.0
Ti2OsRu,231.0
AsRh2,231.0
CrPt3,230.81331229687447
MnVRu2,230.7890191940483
BeNbRu2,230.6974999529505
MnAlIr2,230.6330785940501
NbAlRu2,230.5191340013132
TiRh3,230.4850315365345
AlFe3C,230.1202789605869
Ni3Mo,230.01117475440967
Al2B2Ru3,229.82468843677367
TiSiTc2,229.4262280917401
AlIr,229.3084986593757
VGaTc2,229.30241509612136
HfOs,229.2309303654227
MgTaOs2,229.0965513490245
TaTiTc2,229.03702602896848
TiFe2Si,229.0
WO2,228.8055962356865
Mg(B6C)2,228.5489548424472
TaFe2,228.4709988715093
Co2P,228.4337519665686
VGaFe2,228.3033375800321
CrNi2,228.2938730811069
ZrPt3,228.0
Nb2Co3Si,228.0
MnNbP,228.0
W3O7F,227.81653354160937
Ti2BRh6,227.79000756782145
Nb2C,227.68831494426644
MnGeRu2,227.6206219017353
NbCr2,227.60198458661856
VZnRu2,227.5346772200004
FeGeRu2,227.23569471642017
Nb10C7,227.19733118910383
Fe2B,227.1940060442863
V2PC,227.1604322483987
Ti2TcOs,227.1494877393124
Al(CrB)2,227.1089610420454
BeCo2Si,227.10765383471272
LiRu2W,227.01183837813443
Ru3I,227.0
AlVFeCo,227.0
B6O,226.99744434715177
B4C,226.568390393034
TiGeRu2,226.40909942370783
TaZnRu2,226.07981231164868
TaH2,226.0
ScRe2,226.0
Ti2TcIr,226.0
Al2Mo3C,226.0
NbGeRu2,225.50148733955413
TiZnIr2,225.45397627759635
AlFe2Mo,225.3101051711314
Co2Si,225.30943498575763
AlPt3,225.2304609427992
Ta2NbRu,225.1479003696416
Hf4N3,224.95202284029224
AlMo3,224.92447410257813
Ti3B4,224.7979904577468
Ni3B,224.7016121016869
TaCuRh2,224.49644092184255
Mn2VGe,224.38615029049373
FeWN2,224.31655789461743
HfSiRu2,224.268708504912
TaGaFe2,224.2011729752353
MnZnIr2,224.1701879909788
Cr5Si3,223.7513564113671
Nb2PC,223.5579443986984
Fe3C,223.2378699486749
BeFe2Si,223.15535637072225
Be2RuPt,223.09056518310504
Nb3Os,223.0
ScTc2W,222.92437833713143
HfW2,222.88276511245843
Nb3Ir,222.78522535643296
TiGaIr2,222.7334844803832
LiVIr2,222.60306476658408
TiVO4,222.56599947913844
ScCo3B2,222.54461993352052
Ni4Mo,222.5206170918724
B13C2,222.38536381920943
Zn(BIr)2,222.37771520559224
BeVFe2,222.33344963063232
TaNi3,222.0
Ga2RuRh,222.0
YbOs3,222.0
TaAlFe2,221.80461477184303
TiNbTc2,221.7966076446141
Ta2Co,221.749822143414
Zr5N5O2,221.6621731144212
PW,221.65212492480745
NbSiRh,221.40069908563788
ZrC,221.2519635128413
HfPRu,221.0704280268864
Fe2C,221.0
AlZnIr2,220.99716975734077
TiPRu,220.810609233176
CoPt3,220.6369594761534
AlRe,220.39996457590527
ScIr2,220.0142527392597
TiFeCoGe,220.0
Mn5C2,219.9983425076162
LiPt7,219.9599701412544
SiRh2,219.95262585404183
NbRh,219.7922922619129
MnNbRu2,219.5500482296756
SiHgO3,219.50785789063275
MoP,219.45983660196288
Mn5SiC,219.42687499664245
MnCo2Si,219.2923880364233
Al2IrRu,219.2821103038856
HfRh3,219.0499118706604
AlV4C3,219.0451736258318
AlGeRu2,218.78262594465167
MoO2,218.70097899852112
Ta4FeP,218.51229584637943
Si2W,218.47991738530084
Be2CoIr,218.41776030679145
MnAlRu2,218.0729824658329
ScB12,218.0
UN,218.0
NbZnRu2,217.8021429148224
Mn2AlB2,217.78500229954847
NbNiP,217.78277140493827
V3Pt,217.71004408985823
AlVFe2,217.57954922890167
TaTiMn2,217.39864905102445
MnPt3,217.20379464288632
ZnCo3C,217.0
Ta2BN3,217.0
TaZnRh2,216.92824893143072
GaIr,216.8269146865349
SnMo3,216.8115181437388
GaPt3,216.6240531966596
Be2IrPd,216.28806124783068
Be2NiIr,216.1320158037973
Zr2Fe12P7,216.0678950587957
Be2PtRh,216.0000836259408
TaAlO4,215.97104175449343
HfNbTc2,215.82734693439977
Ti2O3,215.71230432270409
Hf2ReIr,215.70452284057663
Fe2P,215.625494325258
Nb4AlC3,215.5892488933839
Mn3AlC,215.3342037664544
Ta2Ni,215.2817134704576
ZrW2,215.19171380671767
Ta2Si,215.0
ScRh3C,214.96776736378143
MgTaIr2,214.9604348733466
NbSiPt,214.95279325275467
SiIr,214.8686790236629
Ta5Si3,214.7113731718898
TiFe2Ge,214.5881294353697
Ti2ReRh,214.5873883331932
ScCo3C,214.4788064468532
BeAl2O4,214.4747383395972
TaPd3,214.21143845994044
Fe3PtN,214.10198981652428
VRhO4,214.0360603156628
ScTc3,213.88122827607384
TaNi2,213.87413746496884
MgSiIr2,213.85096751157735
Be3N2,213.65205582817788
Nb3O7F,213.5427069227158
ZnPt3,213.4162226126456
NiPt,213.2272725467451
Nb6Co7,213.1276693943768
VCo2Si,213.11440620183285
SiC,213.0985791820873
VNi3,213.09278949474103
ZnFe3C,213.07698420766695
ThOs2,213.0
Pr2(ReB2)3,213.0
Pt3O4,212.890434751444
HfZnIr2,212.85014087837777
HfFeP,212.7444952813672
NbCrSi,212.44653628648976
YOs2,212.33175989499847
Ti2MnIr,212.17463089338813
TiRu,212.02556484399537
TiTc2Sb,212.0
FeP,212.0
ZnCuPt2,212.0
Fe3Si,211.87791723694903
NbCrP,211.8536455002452
NbAlFe2,211.83933718245945
PdO2,211.4159982357383
TiGaRu2,211.3484358313913
Mn2CoSi,211.26323786502337
TaTiO4,211.2145080619859
AlBMo,211.0
ZrRh3,211.0
SiOs,210.9428287479416
V3Co,210.63075077347185
CoSi,210.5067345097605
SbPt7,210.3121186114639
BeFeRh2,210.2760530013604
V5P3N,210.205732534427
VNi2,210.12346565926032
ScTc2Mo,210.0
CrCo,210.0
FeNiPt2,209.97274783926724
Si2Ni6B,209.8590044423836
OsN2,209.8536885477237
Ti2MoIr,209.8354846959293
MnSi,209.6108960493519
Re4Si7,209.5116747250608
VCoSi,209.4175809464527
ScCrC2,209.409167202672
MnV3,209.2846283861357
MgB9N,209.11702116348144
MnNbSi,209.0
TiAlRu2,209.0
Ti2RePt,208.85825788793224
ZrOs,208.8296007520016
TaVO4,208.65016112916024
Mn3GaC,208.4227508835546
NbInRu2,208.00705265029384
Al2IrRh,208.00381797679145
CoCuO2,208.0
Ti2AlO4,207.93751802839816
ZnRh3,207.83360616900688
MnSiRh2,207.77205014423112
HfMoP,207.5650475857393
ZrPRu,207.51744177071205
V2P,207.41311100438324
SiCN,207.3692726963837
Nb3Pt,207.2165922355217
TiB,207.15786021118296
Ga3BN4,207.14710136063044
Ti4O5,207.02042228587632
UNi5,207.0
Zn2NiIr,207.0
Be2CoPt,206.711434302658
Fe3N,206.6535755116655
Si2Mo,206.5945043609061
BeRh,206.5838196640816
TiMn2Si,206.572460901261
TiTc,206.5352668564796
AlPt2,206.48520593501388
Ni3Pt,206.3712273132552
Mn3Si,206.2538164868724
ScAlO3,206.1050099408048
AlWO4,206.0389133488165
Ti2MnOs,206.0
Ti2TcRu,206.0
Co3SnC,205.74392374543208
Nb2AsC,205.6520376780133
ScTaRu2,205.34200375455123
SiPt3,205.0901515969479
CuN,205.0847529774844
AgPt3,205.03308637177304
YCo3B2,205.0
CrN,204.9732148360918
Si5Pt12,204.9704854734291
B8O,204.75117815968773
TaPd2,204.6906492296117
NiP3W2,204.65492642109317
MnSbRu2,204.63133273629265
InPt3,204.58782538048283
BeCo2Ge,204.548064528865
AlBO3,204.5172588201021
Mg(P2Rh3)2,204.4209763621069
HfZrO4,204.3544612721031
Ti2TcRh,204.089424756725
SiRu,204.0
TiCrP,204.0
PtO2,204.0
Ti2N,203.9169535761352
TaPd,203.8704140698221
TiBeRh2,203.64588851966909
ZrSiO4,203.4995246655625
Al2NiO4,203.4973558326561
V2AsC,203.07718491876548
TaCuN2,203.0239587730764
SiPt2,203.0
TaAlCo2,203.0
Cr2ReO6,203.0
Mg(Co3P2)2,202.87119587397984
YRe2,202.8482725801009
Al(FeB)2,202.8198771748652
Ta3Au,202.79122474823367
Nb3AlC2,202.634280076829
Ta2H,202.535976957179
ZrFeP,202.27316010437897
HfSnRu2,202.26465471212623
TiSiRu,202.24880149725368
AlRu,202.2108077045933
V2O3,202.17866080313053
TaGaCo2,202.1666116872964
HfIr,202.0
Cr2GeC,202.0
TiSnRu2,202.0
VSnO4,202.0
Ti2TcPt,201.7527947328194
FeCo2Si,201.69111447683477
ZrGeO4,201.65127295130105
Si3Ru2,201.52505182355384
Ti3Pt5,201.51388495483
TiCo2Si,201.3340072539208
HfScOs2,201.310810380636
TaV2,201.1708983861907
Be2C,201.088601424628
FePt,201.0
V3Ni,201.0
ZrAlRh2,201.0
TaMn2Al,201.0
BeGaCo2,201.0
GaRu,200.96864514687485
Al2RuPt,200.904717162094
SnPt3,200.76621327441217
ScCoC2,200.66361312102725
FeSnRu2,200.6141261033711
VCo2Ge,200.37217853786856
Al2CoOs,200.25505618609725
TaZnCo2,200.0515705118081
UO2,200.0065564045069
Fe3RhN,200.0
DyRh3C,200.0
HfMo2,199.93097317120615
Co2Ge,199.90151104889517
ScN,199.8819802023927
GaNiRh2,199.86873451355217
ScPt3,199.5147723436616
B6P,199.32944691195087
CuGeRh2,199.26497119522045
Li(Co3P2)2,199.22335327380443
Ta2O5,199.044782765348
BeAlRh2,199.0
NiH,199.0
Be2Mo,199.0
TaNiGe,199.0
SiMo,198.9514344854198
TiCr2,198.9108158276996
Al3Pt5,198.82416935490275
Si12Ni31,198.75721966177
NbCo3,198.7273542851928
Si3Rh5,198.7230828690641
MnCoP,198.61826057734044
Si(NiO2)2,198.5465547952529
CrGaCo2,198.47179327175465
Be2PdRh,198.2933298477252
BeSiNi2,197.8914058873584
VGaCo2,197.8295389688575
ZrMoP,197.7866536660799
MgCo3C,197.6839988990845
AlSbO4,197.6583592776416
Al2CoIr,197.62843814322224
MgPPt5,197.5695253030537
MgRh5,197.5571403470575
FeCuPt2,197.55375470082032
HfFeGe,197.49280252271527
Nb4CoP,197.35032817191365
Ni3N,197.0297978955492
CuPt,197.00201143987297
Hf2Al3C4,197.0
MgTaRu2,197.0
V3Pd,196.9498467609293
Ti7Al2O15,196.94443369991188
FeRh,196.6905290171277
YRh3C,196.6452277015113
CrO2,196.6213079022096
HfRu,196.5934816474857
ThB6,196.52842649140428
Hf2MnIr,196.48889661092727
CuNi3N,196.36542590944907
Zr3GeO8,196.3504379477529
MgIr2,196.3460614755172
Ti2CoRe,196.22740783244308
LiAl5O8,196.22117291099443
Be2NiPt,196.1857888040714
VFe,196.13011192427632
YIr2,196.12988568384688
NbPd3,196.10332197775955
MnAlFe2,196.0
VSiPt,196.0
NiGePt2,196.0
AlCuPt2,195.9782819531044
AlRh,195.91605755056543
Zr3N2,195.85725995231013
V3Si,195.7797658981117
ZrMo3,195.7649753123029
Hf2FeOs,195.76206039735752
NbCrGe,195.71303508748667
HfGaRu2,195.70291613237163
NbCrO4,195.70041995230537
NbFe2,195.59739388090247
TiMn2Ge,195.4193425418657
B9C,195.3036636891412
ScVRu2,195.2361999847618
BeCo,195.11014362762063
SiRh,195.0860409957216
CrSi2,195.0
TiO,195.0
ScSiRh2,195.0
Ni3C,195.0
MnCo2Ge,194.9998313051909
Mn3ZnN,194.92349238265308
NbSiPd,194.8920000245626
Hf2N,194.8892067065564
ScNbRu2,194.7994286732423
CoAsRh,194.7474411046087
HfAlRu2,194.7104987140405
Co(PtO2)3,194.6916968889793
Mn2AlCr,194.43882130815263
Nb5Si3,194.4303020985004
Mn2P,194.40715523579968
AlN,194.40551931147388
ScAlIr2,194.3207292821176
TiCo3,194.1985265205305
NbGaCo2,194.11775478580583
Ti2CoTc,194.05900111959176
ScBRh3,194.0064119153418
Hf3Rh5,194.00099419912985
TiFe,193.94290726282787
Hf2TcRu,193.9409971264621
V3As,193.9273432156089
V5Si3,193.7592802740116
NiSnRh2,193.7451204608085
OsS2,193.71804995700003
Ni2P,193.6677999872728
Ta2AlC,193.56499965538384
LiTi3O4,193.53664497161668
VFe3,193.4820236253666
Zn(PtO2)3,193.42679409608343
CoP,193.3321112956204
Ti2CoIr,193.29479532046963
Fe4N,193.25894568428097
CrNi3,193.2418363694317
P2Ir,193.22799430150368
Nb2CS,193.15699619722915
Hf2IrRh,193.09210622874167
AlFeRh2,193.02723758279456
TiAlRh2,193.0
SiNi2,193.0
ZrCoP,193.0
ScTaTc2,192.9904885280068
BeVCo2,192.96709576797508
Mn4Si7,192.910013758584
TiZnRh2,192.76180412799545
Hf(FeSi)2,192.71110093592944
LiTiIr2,192.7088288308552
DyAlO3,192.5122526962619
TiNi3,192.48387431629
Ti2ReNi,192.46332898348885
TiBeCo2,192.4092439865268
Be2PdPt,192.3668325146153
HfMn2,192.3227706646001
AlVCo2,192.2244860981301
Be2CoNi,192.18420454324456
HfSiPt,192.14551169121933
Mn3ZnC,192.0847422836863
NbAlCo2,192.04441162696884
TiPt,192.0325728351684
CdPt3,192.017231866485
PtN,192.0
NbGaNi2,192.0
ZrSnPd2,192.0
HfTc,191.94310043078
Ti2RePd,191.9238396116224
Cd(PtO2)3,191.9235966844704
MnAlCo2,191.796037740754
Fe11MoC4,191.7335083968691
MgNi3B2,191.72349977066543
ZrMo2,191.660381450652
Hf2MoIr,191.6444977535577
TaFeO4,191.6194501203643
TiMn2V,191.580852367403
TaAlNi2,191.5374974747296
Fe11Co5,191.5332380425069
PuO2,191.50431212632265
ScB2,191.32624987719785
Nb4FeSi,191.2580390056772
NaWO3,191.2303737851757
GaFeCo2,191.11803769188808
V2H,191.0
ScGaIr2,191.0
Fe3NiN,191.0
ZrSiRu,191.0
Nb4CoSi,191.0
Al2Os,190.91157563193823
CrPtO2,190.7523554942068
TiBe2Ir,190.62607895990797
Ti2FeIr,190.56692895111087
Nb4SiNi,190.5651832933979
HfCr2,190.5163594691457
Hf(CoSi)2,190.4995512667637
Hf2TcRh,190.44117970133985
Mn(PtO2)3,190.43929844504
Mn2NbAl,190.4323786333032
Fe9Co7,190.37169053354663
VPd2,190.1359466132577
Sc3IrC4,190.06927207914697
Sc(BC)2,190.0
TiZnCo2,190.0
ZnNi3C,189.9625110506788
ScRu2,189.9095931047115
Ti2CrIr,189.8257798693781
Ti2MnRh,189.7642702639613
HfSiRh,189.71124115919724
MnGaCo2,189.7105148311961
TiGaFe2,189.69557035752013
TiRh,189.5340593566439
Hf2CoIr,189.42778258700167
HfGaRh2,189.3129068244944
FeCo,189.1796979209525
Be2CuIr,189.11401564826264
CeAlO3,189.1072597117921
Mg(PtO2)3,189.0602179556989
AlCrO4,189.0
NiMoP2,189.0
NpN,189.0
VSnRh2,188.8910781657856
