formula,target
AgN3,893.0800919057698
FeCo3O8,520.4767757819402
BN,466.5498496916487
Ta2CS2,453.23842937686265
WS2,402.58535782180087
VS2,401.4952807290347
Li3Be,259.38
TiNbS4,248.59127331564684
ZrB6,245.48480229609223
Fe(CO3)2,198.7
NaLiO3,196.94
B2S3,194.6668065267408
ICl2,194.04501112543045
Nb2CS2,187.9502814076947
ReS2,182.58513483606788
H2C,176.99024874293
TcS2,164.98455967775078
HF,154.97628814287555
SrCrRh2,152.83
SnGe,146.00876336262726
MoS2,145.06102038023292
LiC12,141.64977380278998
Si2CN4,141.04948532955314
AlCl3,140.68523126522652
MoW3(SeS3)2,140.26852781578708
MnSiRh2,138.30399756007424
GePdS3,137.7374744581776
CoCuO2,136.53
Y2FeB,127.84
Mn(CO3)2,124.03155148610952
C3N4,116.40707716909212
LiHO,113.29024974240484
Sc2CCl2,112.64857639135188
HoCl3,110.49844559466072
Mo2SeS3,107.18116166210122
Rb2ZrO3,101.5705717740448
PtSe2,98.5405142410651
ZrI2,98.53299408647572
PtS2,97.95329877727345
Co2NiO6,95.9304501215616
Sc2NCl2,95.6942336883493
Ni(PS3)2,94.42220594421153
SnS2,93.95984068702712
HoBr3,93.27989742032256
MgCl2,93.00281669534824
USi3,92.59939764279554
CN2,92.57161601482416
NbS3,91.99024871534394
CsOsN2,90.630963077597
CrP2S7,90.38567067646004
LiZn2Pd,90.14220329697832
NiCl2,86.80833355921209
Ti2AlZn,85.58498169877916
KFeO2,84.96746072661269
TiCl2,83.97
NiO2,83.28673003144976
TiBrN,82.32114039783252
HC,82.0443032778693
Nb3Cl8,81.59843619701483
Nb3TeCl7,81.2068543320868
BeAg3,81.12366908471769
SbSeI,80.34346153472313
TmBr3,79.78768237501137
LuBr3,79.25695976638251
MoSe2,78.21167166250066
TaSe2,77.56
Cu2B2C,77.32533622776434
InCl3,77.17796812337944
ErI3,76.28227620905966
Mo(WSe3)2,74.50775342046363
TeMoWSeS2,74.39940096333513
InI3,74.21283331554979
SiH,73.06066252400953
Mn3CoO8,72.96805320179999
NbS2,72.7330725455653
HoI3,72.55053404043264
CoBr2,72.50498281748753
TiZn3,72.38175826120323
NdI3,72.01515785173653
DyBr3,71.41999839805825
ZrNCl,70.77391721547059
ZnBr2,69.30568429125437
ZrCl,67.57362027768592
CrBr3,67.13657257895102
LiFe3O4,66.82140261815621
SmBr3,66.78193041388108
LuCl3,65.84746726380035
TaS2,64.08100754585115
ZrS2,63.89356899623646
Cr(CoO3)2,62.806026380464345
PrI3,61.999671777814406
TiNCl,61.98950980926322
TiGeO3,60.71097041368642
VBr3,60.59
UI3,60.24
ZrPd2,59.797086102438925
MoCl3,59.6970511628919
TiMn2O6,59.61574925724185
NdBr3,59.11
PdS2,58.68666118403304
Ag2S,58.65
AlClO,58.32270761622488
TePdI2,57.97895961565341
NdI2,57.74
TiMn3O8,57.10091404613218
CaI2,57.09022970212736
Ho3TlC,56.92
CuNi2Sb,56.52079595951504
ScCl,56.3359968905085
ZrIN,53.57029955588274
DyCl3,53.2844544635955
MnB,52.68182236013016
Te2Mo3W(Se2S)2,52.47641883466242
MgI2,52.19544198766774
SmCl3,52.09614687577611
HfBrN,51.8
ScHCl,51.56174551371194
Mg3Si4(HO6)2,51.26201830804524
FeI2,51.22318862881328
TiI4,51.13
MnBr2,50.934126683051936
LaI3,50.85637208192461
TmI3,50.26054576253276
MgPSe3,50.23905177139876
VBr2O,49.32073329066914
NiBr2,49.11869851518651
CaThBr6,48.89999638645274
Cu2WS4,48.03242559906938
LuI3,47.9064882604897
TiIN,47.82421885598124
FeS,47.18103740737297
VCuO3,47.138905022183074
FeBr2,47.10606021295568
Tm3TlC,46.69
Mn3VO8,45.90551708812042
ZrCl3,45.34498660135216
Te2W,45.08213122979429
Co3O4,44.7812971459506
As2Se3,44.347051702165295
VSe2,44.2678652987826
GaS,43.74701153412385
WCl4O,43.6177584318434
Te2Mo,43.48349591923368
TiS2,41.74970403754372
MnCl2,41.40787847891636
NiS2,41.24540404371783
SiP2,40.97
Na2ZrN2,40.960471092071344
Fe(BMo)2,40.14387077295528
VClO,39.98
PuBr3,39.60900417400512
YbI2,39.20809844456035
IN3,39.14231093685747
Nb3SBr7,38.892933151190014
TiS3,38.452479379471015
ThSe,38.3
CdCl2,38.2359776311522
VI3,38.06
NaHgPd2,37.96033821054503
Zn3N,37.91895172359594
BaBiAu,37.826940599939824
Na3(CuO2)2,37.32806465253776
TaTe5Pt,37.03715956404101
FeCl2,37.02
FeSe,36.91485024928178
Na2HfN2,36.89153904717445
MgBr2,36.53124996877872
TiCl3,36.294972256604034
BiO2,36.18299737776324
GaSe,36.08821968178975
NiI2,35.97
LiCd2Pd,35.607325500308136
NbI2O,35.29498367867004
BeCl2,35.27
CrSiTe3,35.08282841374839
Ga2NiS4,35.02912252758637
Na3SbS4,35.00945477407498
ZrInPt2,34.72155996025798
ScPS4,34.70804713337104
Ti(SnO2)2,34.53877760113076
AlPS4,34.048449109636834
CuCl2,34.01626991066231
VCl2O,33.46
CuN3,33.17369950546121
MnI2,32.95581554323448
NdBiAu2,32.74
NbSe2,32.7030037834795
HfS3,32.47995736514639
B(HO)3,32.3349732482155
ZrS3,32.12
TiClO,32.03709506278459
MgGa2,31.876277560381645
Mn3CuO8,31.710870744722207
NiTeO4,31.66977963404779
PtCl2,31.22420152833552
ZrSe3,31.049014838447903
Be12Ag,30.522670701701003
AlFeRh2,29.70301838275741
CdI2,29.44
Sm3I,29.16
CBrN,29.01468691385569
VSe,28.49938376427616
LiBe,28.38851483445169
AlSiTe3,28.289749861648
TaSe3,27.73
HfSnO3,27.643094003676
Fe3Ge,27.151183008032287
LaBr,26.970794811594445
MgZnAg2,26.96283719627836
HfI3,26.83955929764605
SnSe2,26.83692394802969
HBr,26.5
ThBrN,26.354481363674488
MoI3,26.32
Mg2PbW,26.27
CoTeO4,26.24362373168428
KZnN,26.190034853405194
ScBrO,25.91980579427066
BiIO,25.72897194358352
PdSO4,25.6966968518802
Fe3Pd,25.62458772648231
FeClO,25.07487641837988
PdSe2,25.032836186514466
ZrSe2,24.96457897116328
LiCd2Pt,24.87690192976489
MoCl3O,24.554317155683343
LiC6,24.41416615054893
Mg2Al2Se5,24.361430443942552
LiPd2Pb,24.22810375841609
YSnF5,24.11
YCl3,24.06865019632163
CrGeTe3,23.784856563635067
MgW3,23.75164664048431
TiNi,23.62
Ti2Te2P,23.32722671131577
Sc2Co,23.136494944867767
CuI,23.04676335979224
NbI3,22.969415364440483
CdBr2,22.89384473311018
NbHg3F6,22.78936273246509
TlCuO2,22.731029302664236
Mg(AlSe2)2,22.372119923696765
LiScAu2,22.366317885605174
MnGePd2,22.32941354245075
HgI,21.84950739622349
TiSe2,21.83871229163352
Nb3TeI7,21.468123643549315
Hf(Te2Cl3)2,21.446498168271045
BF3,20.99442870616837
Mg(AlS2)2,20.8553660517456
LiB,20.760326698100734
InSe,20.74881461442472
Sr2CuC(NO)2,20.74152372953772
Cu2OF2,20.28390511357241
Ta2Se,20.252122069717423
Li3Ag,20.2
CoSe,20.14408660305584
Cr3Fe,19.99104901338029
CeC2,19.72441719359817
VBrO,19.65689078382788
Ga2FeS4,19.597844092381145
FeCl3,19.594977509336115
LiZn2Pt,19.356663999504548
BiBr3,19.26898587664881
LiNi2Ge,19.18171129378988
Tm2SeO2,19.11
Ta(ICl)2,18.94
Al2Te3,18.81149463792431
TmClO,18.81
In3SbTe2,18.81
TiBrO,18.80899060362356
RbFeF4,18.772720450151237
CuSiO3,18.476543051336265
LiHg2Pd,18.33000306454781
Na2PtC2,18.219385945977116
ZnCu,18.10225509211101
PbI2,17.761554455723857
Cs2O,17.74
MnInNi2,17.505394416106686
BeI2,17.500117715236108
KMnP,17.202338375299313
TiSnO3,17.169565507205206
LiBO2,17.153141536395367
Hf3Te2,17.052258535742354
TcSnSe,16.84
AlV3,16.75
Li2CdPd,16.74888900325301
PdSeO4,16.65
KHO,16.61241426141547
LaSb,16.48
VAu2,16.179056861182257
HfZnAu2,16.17
TiI3,16.16035886221023
Al2Te5,16.117108463472242
YPd3C,16.04
Ta3SiTe6,15.92
KAlF4,15.87791283458694
Li2HgPd,15.86
CuBr2,15.838139021825295
Pb(ClO2)2,15.826314107179051
ZrPt,15.178080626588269
SmLuIn2,15.08
TePd3,15.05
AuSe,14.992498632465956
Cs2PtC2,14.942120753152723
LiSiNi2,14.901311277679374
HgPtO2,14.90077562373446
Rb2PtC2,14.885845895106918
ZrBr3,14.873803888704838
MnSnRh2,14.831498563897744
PrNbO3,14.78
ZrAlAu2,14.711880701862444
Li3Pd,14.659718095576876
NbGaNi2,14.64
FeOF,14.619629824379068
BaNiO3,14.568533278309426
