formula,target
LiNi2Sn,14.527759958540704
BiTeI,14.527036326491446
YC2,14.46002196115396
TiF4,14.312428433352366
TaNi2Te3,14.288605369302056
CuSe2Cl,14.250979401615474
CuAuO2,14.20153479612658
Bi2Se3,14.175760393573336
Al2FeO4,14.14868012148662
GaTe,14.039869611966374
SbSI,14.03
LiCe2Ru,14.0
MnO2,13.93401156435984
KrF2,13.783992573136182
NbF4,13.765466131830516
NbNi2Sn,13.750210341874366
ZrHg,13.713497986620446
BiI3,13.69
Pb3O4,13.669159500610494
BiClO,13.62407529319924
GaGeTe,13.611339236460855
UF5,13.50642131335757
Mg2AgRh,13.494664956989686
SbI3,13.42
MgSc2Tl,13.378398146321237
Zr2Rh,13.344771454750294
H4C,13.312167440570772
Ba3NaN,13.2772850209715
BaNbS3,13.229094471262734
YCBr,13.134672328335268
LiBiPd2,13.077636880688551
ZrH,13.056377450748984
LiGePd2,13.010205182428711
MnCuPd2,12.949839263672276
Li(TiSe2)3,12.9401544230006
Rb3Ru,12.87
Li2WS4,12.838562889603178
Li2MgTl,12.792441232790368
TiZnAu2,12.76744270285234
MoCl4O,12.74426833013619
LiGa2Pt,12.600801422348129
BiF5,12.573132179280146
RbNiBr3,12.54821941284528
Rb2O,12.518363668935825
BiI,12.451909288350535
NaVSe2,12.439836810519186
MgMn2O4,12.421118598481993
NaCu3O4,12.313775005212367
Li2CrO3,12.29
CsO2,12.263870956146649
ZrVSi,12.15
Li(CoO2)2,12.118395136818044
CuReO4,12.08921268191488
Na2Mn3O7,12.08399088640884
ZrI3,12.07077083008987
LaIn,12.047981101260138
CuHgO2,11.965425930808909
ThS,11.94
YbSnAu2,11.93
Ag2PdO2,11.87
Cu(SbO2)2,11.838330850154072
MoBr3,11.797025221742938
AlFe2,11.75
MnBe2Pt,11.692142222100872
CdInPd2,11.669891778276556
Ag2MoO4,11.655438102415536
WOF4,11.551224454683284
TaTe4Ir,11.504286668591751
Y2B3C2,11.407684705714688
TiH,11.337170521949222
Rb2PdC2,11.266738791439607
Cs2PdC2,11.248285572580176
AgF2,11.228807638169776
Mg3Os,11.1963535813541
MnSnPd2,11.15
PbF4,11.084586387427098
BiS2,11.073426261107745
MnInPd2,11.054906819104094
Ba(CoN)2,10.93
MgAlAg2,10.848254648184795
IBr,10.798238339362214
MnNi2Sn,10.714107886097498
MgZn,10.709805401613435
Sc2TlCd,10.698348025437085
TiAlAu2,10.673735881959775
Ca2N,10.6
NiHgO2,10.567712362604562
HfSn,10.555798358957103
PtPbF6,10.516071368135632
YAlPd,10.473825866076776
Nb3In,10.4002252432238
Na2CO5,10.382713739074738
BI3,10.35324527045671
Si2Ni,10.32
CuAgTe2,10.231790710159178
LiZnAg2,10.180298847797552
LiN3,10.17692803943212
TlFeS2,10.107225974912836
CdHgO2,10.079770644251834
RbNiCl3,10.052397054884423
ScZn2Pt,10.039821697778176
MnNi,9.95510405637376
CrO3,9.950895552810607
K2PdO2,9.90813957155568
AlRe,9.818305862379988
TbB6,9.78
MgGaNi2,9.667186024181808
Te4Mo3,9.664728588005714
CeP,9.63
GeAs,9.584494671835383
LiFeF5,9.576541252096458
HoAgHg2,9.56
Li2ZnSn,9.530571090037292
