formula,target
Mn2NiO4,425.2570509533983
BC5,347.0
Si3Ir,334.0768306193153
Be3Ni,316.60556043926675
Sr3Fe2S2O5,313.1305596011155
BeCN2,292.0
WC,278.9601040567486
LaSb,278.0
ReB2,269.8436481313866
B2CN,260.97136882978026
CrB4,258.0
TiB2,252.7460078646214
Si3Ge,245.2505970767704
CrC,243.63202334870653
TcOs3,243.3040953426368
HfB2,242.0
VB2,241.2240951901656
MoC,239.79992640382545
V2B3,237.2487830509272
ReC,233.5405067302657
VB,232.159053607186
V3B4,232.0
Be2C,230.95449804132653
KVO2,227.01944797620533
ZrB2,226.302121702607
WN2,226.07674543127345
B2Mo,225.0
B2W,223.73269547184665
HfNbB4,219.2132722172964
UB2,215.02552865837188
TaC,214.5874919975124
Mg(B6C)2,214.01046757223304
CrIr3,213.9683850846991
Ti3B4,213.45681750164445
TaIr3,212.50082345779663
NbN,211.0
Cr3B4,210.54221415319145
Co(BW)2,207.63740042385376
B6O,207.4629225818336
IrN2,205.97711079272392
VCoB3,204.7489388132052
VC,204.14332035611525
NbIr3,204.1414203560281
Co(BW)3,202.95519766113625
OsC2,202.84540035207849
Ir3Rh,202.0
Re3Pt,201.94489941063952
MgTa2N3,201.4905576549192
BMo,199.881841847816
TaB2,199.53693776319523
V3B2,199.4926204651396
TcB,199.0
Nb3B4,198.2266212951776
NbB,197.48673246986007
NbC,196.80312262824
BW,195.67032096834456
MoN,195.58903297339825
Cr5B3,195.5167573112468
NbB2,195.0
ScB2,194.2925552162992
CoBW,193.31211559007852
Ir3W,193.26286086455448
B6P,190.37988366778296
TiB,189.76340769134555
Ti2ReB2,189.08698061853408
V2CN,188.785766088182
Si2W,188.7510024688689
Re3Ru,188.0
MoIr3,188.0
ScB12,188.0
Mn(BW)2,187.24523674476887
SiC,186.84520177636415
Be3N2,186.28686312907985
VIr3,185.97209886240103
MgTaIr2,185.0660148221957
MgB7,183.30856143231685
BMo2C,183.0065604571573
IrW,182.8373350021651
MnIr,182.5873716046129
MgMoN2,182.51586176225035
TaN,182.0
B8O,180.01079836968486
HfC,179.8151317845858
Co2B4Mo,179.0
CaGeN2,178.8607700743047
Ni(BMo)2,178.74367929440947
B4C,178.01474420495182
CoBMo,178.0
Ta2B,178.0
Si2Mo,176.90151832826774
Fe3Re,176.82810539745643
AlBN2,176.76838393552552
Tc3Os,176.37609187342755
TiN,175.76373248451333
TiC,175.63310758691597
Fe(BW)2,175.31551936619633
Fe2B4Mo,175.2900516749582
Re3Ni,175.08931387111824
Tc3Pt,175.02968183001218
TcN,175.0
Mn2B,174.93772238603367
Al(CrB)2,174.6706500585571
V6C5,174.6279686814715
MgTaN2,174.5181561751162
MoIr,174.12392608690325
Be2Re,172.8878280194384
Re3Pd,172.7751530892112
Ta4N5,172.1119454245772
CrSi2,172.0
MnB2,171.7553135074611
HfScIr2,169.96451117396876
MgB9N,169.6742970042344
Be2W,169.6354016975145
Mn3Ir,169.0
Cr3C2,168.55071388883368
Nb3B2,168.00736579891998
B2Ru,167.57440084518268
W2C,167.4687721879316
PtN2,166.30679190584763
AlV4C3,166.30178662940244
Mg(BeN)2,166.0
TaMoN,163.0
Ru3W,162.17277163625607
BP,162.10210616114426
MnBe2,161.97749421122953
TiIr3,161.74438073591227
CoRe3,161.46684477479968
Nb6C5,161.04543050651162
ScSnRh2,160.89362494944632
B13N2,160.5590366701422
Re4Si7,160.38991162838326
Ti2MnSn,159.9942546259677
Ta3AlC2,159.44176365515273
HfCo3B2,159.10880609922458
ZrC,158.9417453291251
B13C2,158.8343419746464
Cr3PtN,158.0
Be2Cr,157.67417628691476
Mn2AlB2,157.6319383244413
Be12W,157.5851137827158
ZrRu3C,157.04734709351322
Nb4N5,157.0
NbCrN,156.95763358138345
P2Os,156.5711907370109
HfN,156.15417728937234
BeO,156.14759902144118
Hf2Al3C4,156.0
ScSiRh2,156.0
ScN,155.55237103872724
FeRe,154.19639384575368
Cr3Si,153.957852834366
FeP2,153.65594430692846
ZrIr3,152.99984219488664
TaRh3,152.64869179764534
Be22Re,152.39475576044845
Sr2FeSO3,152.34664077835762
BW2,152.25355785725867
Be17Nb2,152.0
CoB,151.6050619261241
YB2,151.0704987151963
CrRh3,151.0
Sc(BC)2,151.0
WN,151.0
ReO2,150.61096375732583
Be22W,150.03030507470098
Be2Mo,150.0
Be12Mo,149.92402112826483
Tc3Ni,149.90822601810302
Mo2C,149.616854949652
CrCo3,149.61440722556415
V2PC,149.32130690344462
TiNbN2,149.0
HfIr3,148.87392576526364
VSi2,146.92523771502633
Al2O3,146.84860864979063
NbRh3,146.26647674033632
Tc3Pd,146.17605749340652
TiRe2W,146.12698703757616
BeAl2O4,146.11764858140748
Be2Fe,146.04660731086153
TiFe2Si,146.0
Ta4AlC3,145.80069165447216
Nb4AlC3,145.27919035806892
LuN,145.2690670791278
Fe2B,144.90871739251742
Be12Cr,144.74548810852042
BeGeN2,144.456335901023
V2ReOs,144.3020943760308
MnAlOs2,144.02663208712772
Be12V,144.02600933287226
CoTc3,143.7986151667256
TaAlOs2,143.38952460457926
Ti2Be17,143.30737156231115
TaFeP,143.0
CrFeP,142.75923480392066
TaBe12,142.66653291431638
Co3W,142.09588654451474
TaSi2,142.03312361912506
ZrN,142.0
V2N,141.7757282100801
Al2Os,141.5669341225515
CrWN2,141.53060279120595
BMo2,141.38512968872485
MnSi,141.319348431284
NbBO4,141.1262839148248
Hf2N,141.08920755209405
Ni2Mo3N,140.9673459088781
FeB,140.87812687738162
VPt,140.77442846967324
NbSi2,140.36336160360364
BeSiOs2,140.34654819815296
Nb2PC,140.2962216147308
NbNiB,140.18259707683995
ScRu3C,140.03634247608932
Nb4N3,139.98360283900618
Cr2N,139.97680090350266
NbO,139.9213447673709
AlVOs2,139.92024720085968
YB2C,139.84631989792177
AlRe2,139.0885868011424
OsS2,138.72999200549742
FeSi,138.63790852193077
Ti3SiC2,138.60479020686574
Ta2C,138.28981774728186
SiB2Mo5,138.20702318104838
Sc(AlC)3,138.0
AlBMo,138.0
Be12Nb,137.8231012306975
Be2V,137.53650700023906
TaAlFe2,137.1272166932606
Re3P4,137.01445318283584
AlVFe2,136.84269373736277
MoPt2,136.73437499552134
Fe2W,136.69415285825437
Nb3AlC2,136.55717810212562
Ge2W,136.5121245927748
TiSiOs2,136.19536574961904
Mn3Fe,136.17863628892445
AlBO3,135.88518600361024
CdGeO3,135.8388067643507
MoP,134.45712730411557
Ti2CS,134.4201682820443
LiAlPt2,134.30435242177015
TiOs,134.29978214065102
Be4B,134.14000134964692
MoRh,133.77711914307667
AlCr2C,133.77304557192437
Ga3BN4,133.75384714080707
Mn4Si7,133.73057156390405
LiBC,133.5234641829556
Co3Mo,133.2104232789299
ScCrC2,133.18231212750342
Ta5Si3,133.01188769629428
FeP,133.0
Mn3Rh,133.0
Cr5Si3,132.8411918178652
Ta2OsW,132.6227903264955
Nb10C7,132.57793377369975
P2W,132.4863029616192
Ce(FeP3)4,132.02455731324494
Rh3W,132.0168024776121
ErN,132.0
Be5Pd,132.0
Fe7W6,131.85109480558066
TaAlRu2,131.26287863432492
CoReB,131.15392336078523
CaHfN2,131.0
TiOs3,131.0
HfAlRh2,131.0
AlV2C,130.94856747717492
BeAlB,130.8458121836495
TiSiRu2,130.42203535266887
TaTc,130.4217990824597
BeCo2Si,130.27361933118283
LaB6,130.2461006966128
ZrCo3B2,129.7717324029583
NbAlOs2,129.71593305461928
Mn2AlRe,129.62084331519958
V2TcOs,129.45488928651164
ScCo3B2,129.2888680165905
Al(FeB)2,129.21284992873387
TiRh3,129.11856500569084
Mn3AlC,128.60404763285595
P2Ir,128.530965044757
NbRu3,128.47826665499042
Al2IrOs,128.13958906279728
TiTc2W,128.04820878978478
PaIr3,128.0
Ho2B4C,128.0
Mn2VSi,128.0
Mn2AlW,127.49847108299444
MnAlRu2,127.440137550539
FeSi2,127.30397057804284
Zr2Al4C5,127.27792343652544
VRh3,127.04936924139896
SiMo3,127.0
ReN2,127.0
TiFe2Ge,126.77180916732168
Zr2Fe12P7,126.6800709691932
MoRh3,126.60569726674194
Co7Mo6,126.0
VSiOs2,125.92734515042848
Ti3AlC2,125.86679991130958
Be3Nb,125.80995772144132
Be2Cu,125.4129485755952
