formula,target
Be2IrPt,125.0
BeAlIr2,125.0
Be2CoNi,124.91661421206707
HfFeP,124.91605341668291
TaSiIr,124.858492755918
FeS2,124.83175851719594
V2CrOs,124.53591849213464
VP2,124.47242052806143
ReO3,124.4084664653776
TaGaFe2,124.38642620644606
ZrIr2,124.0
BAs,124.0
NbAlFe2,123.83692924799074
VGaFe2,123.42895331388644
Nb5Si3,123.37425140773364
Hf2CS,123.1710809667903
AlVRu2,123.1091301827806
CeB2Ir3,123.08981953917136
TiCrP,123.0
TlCoO3,123.0
MnSiRu2,123.0
YCo3B2,123.0
TiReTc2,122.79757566419192
ThB6,122.33257114763794
MnV,122.28570702495776
Al23B50,122.1888375999854
V3Ir,122.07462641442692
ScTaOs2,122.04113950001172
CoMoP,122.0
MnAlFe2,122.0
Ti2OsRu,122.0
BeFe2Si,121.94770211645212
CoP2,121.79985976557528
Ta2AlC,121.7668258149694
AlN,121.53162599482194
Sc3IrC4,121.4461151175054
AlMo3,121.34553019511829
LiSi2N3,121.3256659117864
HfMoP,121.22217271455824
Si3W5,121.19352665566817
TiBeIr2,121.16872548930584
Mn3GeC,121.0
SiSnO3,121.0
NbSiIr,120.98672590420684
Ta2N,120.94723905966816
LiAl5O8,120.93820948932724
YN,120.84537160645206
Si3N4,120.4848172272442
Sc3FeC4,120.44935159726136
ScBIr3,120.31169532532743
Mo3Os,120.11973335785584
TiMn2W,119.989576067615
V5Si3,119.91276236210882
AlWO4,119.8524070116035
Be5Au,119.84967965789625
Si3Mo5,119.74918233176132
HfBe5,119.689429296593
Sc3CoC4,119.6521113115948
TaCo2,119.53743889251152
NbCrSi,119.48555068336395
AlSbO4,119.25760794873707
FeWN2,119.2450174172683
SiIr3,119.23799038273371
Fe2Si,119.02579053524316
MgO,119.0
BeRu2W,119.0
HfTc2W,118.98432135352414
V(CrC)2,118.83932521445276
Nb2AsC,118.78749593452312
ZrFeP,118.77470677427117
VO2,118.7103029314201
As2Os,118.5790928090744
YbF3,118.50912414775236
Pt3W,118.33254906790025
CeBe13,118.09732175480092
Pr2(ReB2)3,118.0
TaSiRh,117.95857613638222
TaBe2,117.79920136540804
LiC6,117.7980801890949
HfBeSi,117.76343684147496
BeCo,117.76013212612872
MgB2,117.65727437433094
PW,117.5741557290909
OsN2,117.4374711972109
P2Pt,117.30394973143262
Nb2C,117.2655962185486
Ti2N,117.15945631771984
AlB2,117.05551599535046
Sc3RhC4,117.0368043646147
Be17Ru3,117.02684788013744
NbCoP,117.0
TaRu3,117.0
HfOs,116.97940015178948
FeAsS,116.94332293721462
V2C,116.86645572128523
NbAlRu2,116.79391920307457
Ta2Be,116.68466313589408
Al2FeCo,116.66183461747852
Ti2ReIr,116.55698438718557
AlCo3C,116.50164424250583
TaAlO4,116.36504182983631
ScAlO3,116.33484010827888
TiTc2Mo,116.32921132103
HfRh3,116.30497593329028
TiGeRu2,116.20999159954988
FeSiRu2,116.193667990365
ZrBeSi,116.1418662339598
CoSi,116.0699509144206
NaSi2N3,116.05974947816712
CrSi,116.04804325092836
Ti2TcIr,116.0
Cr2GaC,116.0
VIr,116.0
KSiO3,116.0
TiFeSi2,115.9909080014952
